% Model:              dipole_antenna_freespace.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 4 2021, 09:31
% Table:              Table 3 - Lumped Port Voltage (emw.Vport_1)
% gap_size (m)                                    freq (GHz)                                        Lumped port voltage (V)
0.001                                             0.083                                             0.4447827219294403
0.002                                             0.083                                             0.44590588354900174
0.003                                             0.083                                             0.44673909251208654
0.004                                             0.083                                             0.44739507026066055
0.005                                             0.083                                             0.44803841848252535
0.006                                             0.083                                             0.44865956038727167
0.007                                             0.083                                             0.4491072707548833
0.008                                             0.083                                             0.4495240418284991
0.009                                             0.083                                             0.45012400217562387
0.01                                              0.083                                             0.45049336282816216
