% Model:              dipoleMoveInBox_6.28.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jul 1 2022, 13:05
% Table:              Table 6 - AF
% boxX (m)                                        boxY (m)                                          boxZ (m)                                          freq (MHz)                                        Point average: 20*log10(abs(emw.Ex/emw.Vport_1))  Point average: 20*log10(abs(emw.normE/emw.Vport_1))
0.65                                              -0.2                                              0.7                                               50                                                16.682328384084546                                23.12325268771511
0.65                                              -0.2                                              0.7                                               50.12506253126563                                 16.64967344010758                                 23.09501826814892
0.65                                              -0.2                                              0.7                                               50.25012506253127                                 16.616978180686935                                23.066911598486094
0.65                                              -0.2                                              0.7                                               50.3751875937969                                  16.584240411112845                                23.038938312131922
0.65                                              -0.2                                              0.7                                               50.50025012506252                                 16.551459653991667                                23.01110506045704
0.65                                              -0.2                                              0.7                                               50.62531265632816                                 16.518636865797934                                22.98341927620146
0.65                                              -0.2                                              0.7                                               50.7503751875938                                  16.485774030567388                                22.95588901523553
0.65                                              -0.2                                              0.7                                               50.87543771885943                                 16.452873821839805                                22.928522860766492
0.65                                              -0.2                                              0.7                                               51.000500250125064                                16.419939352658087                                22.9013298738329
0.65                                              -0.2                                              0.7                                               51.12556278139069                                 16.38697399232202                                 22.874319581332067
0.65                                              -0.2                                              0.7                                               51.250625312656325                                16.353981222579726                                22.847502000315064
0.65                                              -0.2                                              0.7                                               51.37568784392196                                 16.32096450834271                                 22.82088770424769
0.65                                              -0.2                                              0.7                                               51.500750375187586                                16.287927171481638                                22.794487939697657
0.65                                              -0.2                                              0.7                                               51.62581290645323                                 16.25487234734243                                 22.768314760319278
0.65                                              -0.2                                              0.7                                               51.75087543771886                                 16.221803714490573                                22.742380747800713
0.65                                              -0.2                                              0.7                                               51.87593796898449                                 16.188731566655576                                22.71669492841644
0.65                                              -0.2                                              0.7                                               52.00100050025013                                 16.15570174662324                                 22.691238812803483
0.65                                              -0.2                                              0.7                                               52.126063031515756                                16.122763105811494                                22.6659764077675
0.65                                              -0.2                                              0.7                                               52.25112556278138                                 16.089775086483122                                22.641026528284538
0.65                                              -0.2                                              0.7                                               52.37618809404702                                 16.056732094129462                                22.61642501594333
0.65                                              -0.2                                              0.7                                               52.50125062531265                                 16.023686525850533                                22.59214555097103
0.65                                              -0.2                                              0.7                                               52.62631315657829                                 15.990650178394839                                22.56819037782111
0.65                                              -0.2                                              0.7                                               52.751375687843925                                15.95762579760842                                 22.544573051254325
0.65                                              -0.2                                              0.7                                               52.876438219109545                                15.924616461901193                                22.521309246200843
0.65                                              -0.2                                              0.7                                               53.001500750375186                                15.891610601203627                                22.498398594580614
0.65                                              -0.2                                              0.7                                               53.12656328164082                                 15.858928634098067                                22.47609521528928
0.65                                              -0.2                                              0.7                                               53.25162581290645                                 15.8257711163659                                  22.453858637494736
0.65                                              -0.2                                              0.7                                               53.37668834417209                                 15.792917561986435                                22.432194762190186
0.65                                              -0.2                                              0.7                                               53.50175087543772                                 15.760133898400854                                22.41100835010092
0.65                                              -0.2                                              0.7                                               53.62681340670334                                 15.727359795022789                                22.39026198493215
0.65                                              -0.2                                              0.7                                               53.75187593796898                                 15.694612971689914                                22.369983091412852
0.65                                              -0.2                                              0.7                                               53.87693846923462                                 15.661899466889738                                22.35019364795182
0.65                                              -0.2                                              0.7                                               54.00200100050024                                 15.630795113803224                                22.331759848932354
0.65                                              -0.2                                              0.7                                               54.127063531765884                                15.599896498131185                                22.313894990213047
0.65                                              -0.2                                              0.7                                               54.25212606303151                                 15.568691090184572                                22.296342731427547
0.65                                              -0.2                                              0.7                                               54.37718859429715                                 15.537190298332593                                22.279137039734024
0.65                                              -0.2                                              0.7                                               54.50225112556278                                 15.505405670496751                                22.262313371399664
0.65                                              -0.2                                              0.7                                               54.627313656828406                                15.473348844932199                                22.245908758688028
0.65                                              -0.2                                              0.7                                               54.75237618809405                                 15.441031611387656                                22.229961887289985
0.65                                              -0.2                                              0.7                                               54.87743871935968                                 15.408466490495073                                22.214513198317054
0.65                                              -0.2                                              0.7                                               55.00250125062531                                 15.3756671782893                                  22.199605013847343
0.65                                              -0.2                                              0.7                                               55.12756378189095                                 15.34264710056221                                 22.185281691215273
0.65                                              -0.2                                              0.7                                               55.25262631315658                                 15.309415304002474                                22.171589939689305
0.65                                              -0.2                                              0.7                                               55.3776888444222                                  15.27596986070029                                 22.15857957981712
