% Model:              dipole_antenna (1).mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 28 2022, 09:52
% Table:              Table 6 - AF
% boxX (m)                                        boxY (m)                                          boxZ (m)                                          freq (MHz)                                        Point average: 20*log10(abs(emw.Ex/emw.Vport_1))  Point average: 20*log10(abs(emw.normE/emw.Vport_1))
-0.15                                             -0.2                                              0.1                                               50                                                16.70940632829837                                 24.05782712377954
-0.15                                             -0.2                                              0.1                                               50.836120401337794                                16.70940632829837                                 24.05782712377954
-0.15                                             -0.2                                              0.1                                               51.67224080267559                                 16.70940632829837                                 24.05782712377954
-0.15                                             -0.2                                              0.1                                               52.508361204013376                                16.70940632829837                                 24.05782712377954
-0.15                                             -0.2                                              0.1                                               53.34448160535117                                 16.709406328298375                                24.05782712377954
-0.15                                             -0.2                                              0.1                                               54.180602006688964                                16.709406328298375                                24.05782712377954
-0.15                                             -0.2                                              0.1                                               55.01672240802676                                 16.709406328298375                                24.05782712377954
-0.15                                             -0.2                                              0.1                                               55.85284280936454                                 16.709406328298375                                24.05782712377954
-0.15                                             -0.2                                              0.1                                               56.68896321070233                                 15.270597085796721                                23.45631128030961
-0.15                                             -0.2                                              0.1                                               57.52508361204013                                 15.270597085796721                                23.45631128030961
-0.15                                             -0.2                                              0.1                                               58.36120401337792                                 15.270597085796721                                23.45631128030961
-0.15                                             -0.2                                              0.1                                               59.197324414715716                                14.325555630012733                                24.24357230119609
-0.15                                             -0.2                                              0.1                                               60.03344481605351                                 14.325555630012731                                24.24357230119609
-0.15                                             -0.2                                              0.1                                               60.869565217391305                                14.325555630012731                                24.24357230119609
-0.15                                             -0.2                                              0.1                                               61.7056856187291                                  14.325555630012731                                24.24357230119609
-0.15                                             -0.2                                              0.1                                               62.541806020066886                                13.584830383915664                                30.752684721528492
-0.15                                             -0.2                                              0.1                                               63.37792642140468                                 13.160825700106942                                45.340596119025996
-0.15                                             -0.2                                              0.1                                               64.21404682274247                                 12.995180260892539                                30.800444074826004
-0.15                                             -0.2                                              0.1                                               65.05016722408027                                 12.79543005133563                                 24.6349270201799
-0.15                                             -0.2                                              0.1                                               65.88628762541806                                 12.539700569454288                                19.16767781769146
-0.15                                             -0.2                                              0.1                                               66.72240802675586                                 12.539700569454292                                19.16767781769146
-0.15                                             -0.2                                              0.1                                               67.55852842809364                                 12.137155816654918                                16.185148997320834
-0.15                                             -0.2                                              0.1                                               68.39464882943145                                 11.928695912203716                                15.683828460341536
-0.15                                             -0.2                                              0.1                                               69.23076923076923                                 11.657380542808923                                15.467358529470683
-0.15                                             -0.2                                              0.1                                               70.06688963210702                                 11.321911009973721                                15.178353829623445
-0.15                                             -0.2                                              0.1                                               70.90301003344482                                 11.321911009973721                                15.178353829623445
-0.15                                             -0.2                                              0.1                                               71.73913043478261                                 10.944917859373716                                15.587970523684287
-0.15                                             -0.2                                              0.1                                               72.57525083612039                                 10.944917859373716                                15.587970523684286
-0.15                                             -0.2                                              0.1                                               73.4113712374582                                  10.923446758257553                                15.793706081280053
-0.15                                             -0.2                                              0.1                                               74.24749163879598                                 10.190948094366975                                18.191937602579756
-0.15                                             -0.2                                              0.1                                               75.08361204013377                                 10.190948094366975                                18.191937602579756
-0.15                                             -0.2                                              0.1                                               75.91973244147155                                 9.750766096096118                                 22.921065748196412
-0.15                                             -0.2                                              0.1                                               76.75585284280936                                 9.750766096096118                                 22.921065748196412
-0.15                                             -0.2                                              0.1                                               77.59197324414716                                 9.222095063532612                                 36.18969000287584
-0.15                                             -0.2                                              0.1                                               78.42809364548495                                 9.032672907768184                                 39.54975156197217
-0.15                                             -0.2                                              0.1                                               79.26421404682274                                 8.761817463462393                                 30.725177573840035
-0.15                                             -0.2                                              0.1                                               80.10033444816054                                 8.537858005246889                                 26.905442033726665
-0.15                                             -0.2                                              0.1                                               80.93645484949833                                 8.221024848878532                                 23.0990765406906
-0.15                                             -0.2                                              0.1                                               81.77257525083613                                 8.221024848878534                                 23.0990765406906
-0.15                                             -0.2                                              0.1                                               82.6086956521739                                  8.125350920314236                                 22.509654316842806
-0.15                                             -0.2                                              0.1                                               83.4448160535117                                  7.438771600619608                                 18.89218501542477
-0.15                                             -0.2                                              0.1                                               84.2809364548495                                  7.4387716006196065                                18.89218501542477
-0.15                                             -0.2                                              0.1                                               85.11705685618728                                 7.438771600619608                                 18.89218501542477
-0.15                                             -0.2                                              0.1                                               85.95317725752508                                 7.121571570295582                                 17.9518062870581
-0.15                                             -0.2                                              0.1                                               86.78929765886286                                 6.990353073911159                                 17.627162196151854
-0.15                                             -0.2                                              0.1                                               87.62541806020067                                 8.70402144543117                                  16.574686144507602
-0.15                                             -0.2                                              0.1                                               88.46153846153844                                 6.542808771286342                                 16.258405618368947
-0.15                                             -0.2                                              0.1                                               89.29765886287626                                 6.542808771286342                                 16.258405618368947
-0.15                                             -0.2                                              0.1                                               90.13377926421404                                 6.542808771286342                                 16.258405618368947
-0.15                                             -0.2                                              0.1                                               90.96989966555185                                 5.928258540424866                                 15.630165211322423
-0.15                                             -0.2                                              0.1                                               91.80602006688963                                 5.354150351759159                                 14.885651264449038
-0.15                                             -0.2                                              0.1                                               92.64214046822742                                 4.530873529354077                                 13.71443359929947
-0.15                                             -0.2                                              0.1                                               93.47826086956522                                 4.530873529354077                                 13.71443359929947
-0.15                                             -0.2                                              0.1                                               94.314381270903                                   4.530873529354078                                 13.71443359929947
-0.15                                             -0.2                                              0.1                                               95.15050167224081                                 4.530873529354078                                 13.71443359929947
-0.15                                             -0.2                                              0.1                                               95.98662207357857                                 4.530873529354078                                 13.71443359929947
-0.15                                             -0.2                                              0.1                                               96.8227424749164                                  4.353283309981723                                 13.424925624940244
-0.15                                             -0.2                                              0.1                                               97.65886287625416                                 4.353283309981723                                 13.424925624940244
-0.15                                             -0.2                                              0.1                                               98.49498327759197                                 2.934669635215581                                 11.947414845721854
-0.15                                             -0.2                                              0.1                                               99.33110367892975                                 2.9346696352155783                                11.947414845721854
-0.15                                             -0.2                                              0.1                                               100.16722408026756                                2.9346696352155788                                11.947414845721854
-0.15                                             -0.2                                              0.1                                               101.00334448160535                                2.9346696352155788                                11.947414845721854
