% Model:              bicon2mm94.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 7 2021, 17:10
% Table:              Table 3 - AF (10*log10(1/(abs(emw.Vport_1))))
% freq (MHz)             Antenna Factor
25                       5.040497948410899
30                       4.231203320439725
35                       3.5398389820808496
40                       2.9608079410538424
45                       2.488106445954366
50                       2.1150431926693796
55                       1.8349291317519232
60                       1.6407384588703156
65                       1.5235109274205954
70                       1.472445110093572
75                       1.4757212184973478
80                       1.5216217313595828
85                       1.5995383027724257
90                       1.7005273957607838
95                       1.8173792504584954
100                      1.9444054247425824
105                      2.077161500303835
110                      2.2122182946575686
115                      2.346995791610369
120                      2.4796262402165565
125                      2.6088155660972454
130                      2.733703893012672
135                      2.853756367487679
140                      2.968713408375652
145                      3.0785880416897915
150                      3.1836571109943694
155                      3.2844044153059104
160                      3.381422883023032
165                      3.4753056975685634
170                      3.566543001345785
175                      3.6554364041047887
180                      3.7420799261896383
185                      3.826495087431021
190                      3.9087743224821496
195                      3.9889591794206436
200                      4.067208867276716
205                      4.144253041308772
210                      4.224294006854327
215                      4.276258724403156
220                      4.368071324030404
225                      4.432841637115259
230                      4.5070135124489585
235                      4.584426945698945
240                      4.666098500721079
245                      4.7534343768315654
250                      4.847916383795744
255                      4.951007383987508
260                      5.064117118119846
265                      5.188600759560985
270                      5.3258011383897745
275                      5.47714641994605
280                      5.644343838865411
285                      5.829762612354433
290                      6.03722897429991
295                      6.273864859423812
300                      6.554909634370486
