% Model:              dipoleDriveBox_2.3.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 3 2022, 22:20
% Table:              Table 16 - abs Ex
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.Ey))              Point average: 20*log10(abs(emw.Ez))
30                                                -88.13091208512782                                -86.9174202118875                                 -86.99816612789226
30.5                                              -88.16586427042782                                -86.85612878217349                                -86.93757278881755
31                                                -88.19434739156566                                -86.7900232150318                                 -86.87726174366955
31.5                                              -88.15822713060535                                -86.7228173171378                                 -86.81637490786079
32                                                -88.02636486732203                                -86.6589414219866                                 -86.75412289720273
32.5                                              -87.81757241140235                                -86.5887606417862                                 -86.6909559722136
33                                                -87.60779769983692                                -86.52307543408158                                -86.63168353063718
33.5                                              -87.22123157912989                                -86.45285210012784                                -86.56353884796113
34                                                -86.87264389375693                                -86.38254112442321                                -86.4996838532768
34.5                                              -86.50512345825123                                -86.3096361576816                                 -86.44018939824518
35                                                -86.13811887911248                                -86.23787918569398                                -86.37210717494771
35.5                                              -85.76801824178642                                -86.15827727469144                                -86.30825324553464
36                                                -85.35803305155808                                -86.07612042570726                                -86.23572370619942
36.5                                              -84.96455179447231                                -86.00300922293938                                -86.16040862976864
37                                                -84.58560288575615                                -85.9240786885722                                 -86.09559038511551
37.5                                              -84.21277418508232                                -85.84358481413538                                -86.01990237448203
38                                                -83.84798240571858                                -85.76004487198233                                -85.94198959086295
38.5                                              -83.49487367079807                                -85.67413722699638                                -85.86828534998844
39                                                -83.18179578875724                                -85.58341364185836                                -85.78435905009746
39.5                                              -82.84220144763896                                -85.49617057085024                                -85.70462733296351
40                                                -82.5078555081218                                 -85.40702021419322                                -85.6257842971837
40.5                                              -82.18595713792385                                -85.31819326941714                                -85.53926617437786
41                                                -81.8740278339209                                 -85.22737524536689                                -85.45748278252253
41.5                                              -81.54658180850478                                -85.13187460128687                                -85.37328953946484
42                                                -81.2218627367591                                 -85.04007811362224                                -85.29197215624109
42.5                                              -80.90803772742575                                -84.94114576348703                                -85.20404252055017
43                                                -80.59445015176124                                -84.84274682591632                                -85.11652766649304
43.5                                              -80.26310290824114                                -84.74325681477772                                -85.02688334409244
44                                                -79.93309194786396                                -84.63131505238638                                -84.92487177348835
44.5                                              -79.62447203515558                                -84.52939581678704                                -84.8283516890258
45                                                -79.30803483389532                                -84.42511851744315                                -84.73748778216006
45.5                                              -78.97827140737091                                -84.31550217074395                                -84.64322720968711
46                                                -78.65472665932424                                -84.20539400298136                                -84.54608046801732
46.5                                              -78.32798591063971                                -84.10000260918267                                -84.45101403454859
47                                                -78.01198257256655                                -83.9918135994791                                 -84.35454126571074
47.5                                              -77.70837158754597                                -83.87861157273241                                -84.25025797091705
48                                                -77.37854519386178                                -83.76206137299245                                -84.14787627679289
48.5                                              -77.04962748211945                                -83.64054264758343                                -84.04613196098612
49                                                -76.72001627889107                                -83.51994311935384                                -83.94398662187669
49.5                                              -76.38968314877985                                -83.40320445410224                                -83.83784020018012
50                                                -76.04551105478015                                -83.27614012883664                                -83.72474668470237
50.5                                              -75.711954019572                                  -83.14906869752423                                -83.60667364259811
51                                                -75.37689002620431                                -83.01635927526577                                -83.49499150846945
51.5                                              -75.0468143358762                                 -82.88729156191319                                -83.38282070056597
52                                                -74.69536915568959                                -82.76659398571336                                -83.26661157868642
52.5                                              -74.3476274967913                                 -82.62818994653506                                -83.14882313977319
53                                                -73.9942999431751                                 -82.48642269605152                                -83.01360219093772
53.5                                              -73.64249007122827                                -82.34277954558564                                -82.88718260466752
54                                                -73.29349702699558                                -82.19625749533361                                -82.7611813694697
54.5                                              -72.93705240593168                                -82.0538677193841                                 -82.62680388944587
55                                                -72.58166333463981                                -81.90532679257147                                -82.49703351783639
55.5                                              -72.19329406787341                                -81.75951278229658                                -82.36447224256084
56                                                -71.80670520101164                                -81.6127328555806                                 -82.23476535403377
56.5                                              -71.41815956361282                                -81.45569941717659                                -82.10424379354313
57                                                -71.02445084984923                                -81.29368264065977                                -81.97141264770585
57.5                                              -70.62228073221605                                -81.13624831050598                                -81.82990831289516
58                                                -70.20769381399622                                -80.98048751882362                                -81.68185678044439
58.5                                              -69.78982617275723                                -80.8140337575927                                 -81.53743819152223
59                                                -69.3648628109034                                 -80.65056904767057                                -81.38957270758979
59.5                                              -68.93250152734159                                -80.47891867791992                                -81.24876434078595
60                                                -68.48348593515911                                -80.30274040964716                                -81.08962592123034
60.5                                              -68.03623435045155                                -80.12614678331808                                -80.93748991852888
61                                                -67.5772518637835                                 -79.94408845598444                                -80.78542850740503
61.5                                              -67.09079603794932                                -79.77135998406963                                -80.62992448739793
62                                                -66.59787962714661                                -79.59309279435996                                -80.46926179183832
62.5                                              -66.10158919396505                                -79.396823291864                                  -80.30679190715783
63                                                -65.57085689336904                                -79.20318108181127                                -80.13590071799071
63.5                                              -65.02622114034328                                -79.0088438170823                                 -79.96112390613129
64                                                -64.47069658263933                                -78.91164263672053                                -79.79058380491726
64.5                                              -63.88621131019723                                -78.60572474026637                                -79.620891405342
65                                                -63.2789206697414                                 -78.39477863970663                                -79.44428924889061
65.5                                              -62.65537119336331                                -78.18433551420492                                -79.275134806069
66                                                -61.98725474278871                                -77.97764570382945                                -79.09153001510373
66.5                                              -61.285498539056206                               -77.7568698143642                                 -78.90481144301438
67                                                -60.560457560213514                               -77.53134366271885                                -78.72522744859316
67.5                                              -59.78215771351912                                -77.30259302350099                                -78.52396328317278
68                                                -58.95102987879882                                -77.07297262043524                                -78.32479068710298
68.5                                              -58.05997403746593                                -76.84555237734347                                -78.1152566442212
69                                                -57.08840827719074                                -76.58562114145798                                -77.90244967360861
