% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 4 2023, 11:23
% Table:              AF 100ohms plus 0 - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
40                       9.155237128347993
50                       6.7000628518105465
60                       4.941185200584513
70                       4.110733303561634
80                       4.17330832305848
90                       4.782357460980718
100                      5.600292456449422
110                      6.436454250855416
120                      7.216396926755914
130                      7.915114343018791
140                      8.53417798844321
150                      9.080783574283473
160                      9.564094548881332
170                      9.993661024246155
180                      10.379821379978868
190                      10.732103611884652
200                      11.053765203964385
210                      11.388839090801259
220                      11.708932902057825
230                      11.984635682260766
240                      12.297049443531247
250                      12.647116881000542
260                      13.050879161309227
270                      13.526723960503393
280                      14.085460425673304
290                      14.696725007252635
300                      15.51883762455171
310                      16.40921594682306
