% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 18:04
% Table:              AF 136 ohms correct dimentions + 4.3dB - Global Evaluation 1
% freq (MHz)             20*log10(1/abs(emw.Vport_1)) + 4.3
40                       11.296486522090909
50                       9.37213179548744
60                       8.14794241419521
70                       7.627068678029972
80                       7.680028259980312
90                       8.092107118930727
100                      8.67769241568106
110                      9.31861375794287
120                      9.955142510620318
130                      10.55720324539839
140                      11.116996340986962
150                      11.633606119867594
160                      12.10993278830654
170                      12.551119378279854
180                      12.963780654967007
190                      13.35225494578085
200                      13.716730434088515
210                      14.152755224092626
220                      14.476224604181507
230                      14.845999987450401
240                      15.245446152259671
250                      15.689032473031624
260                      16.193862788054776
270                      16.77699890456018
280                      17.408021377193254
290                      18.185576611148417
300                      19.097333803025904
310                      20.092229098784394
