% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 4 2023, 11:04
% Table:              AF 160Ohms plus 0 - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
40                       6.522194612673823
50                       4.822736842949819
60                       3.732937514185286
70                       3.201086912155582
80                       3.1253668663741707
90                       3.3647714345437816
100                      3.7885432364843945
110                      4.302542635591014
120                      4.849919669492028
130                      5.394974075568173
140                      5.92266267505246
150                      6.425737460849183
160                      6.901905816286169
170                      7.351787861901881
180                      7.778640400601304
190                      8.186519895957602
200                      8.573948308003498
210                      8.983650994091999
220                      9.377028847205882
230                      9.725271914590985
240                      10.106564989660251
250                      10.517497555541482
260                      10.970888184864577
270                      11.482895642059285
280                      12.066842532254231
290                      12.634078435790858
300                      13.469353203724284
310                      14.34793039803088
