% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 19:11
% Table:              AF 180ohms correct dimentions plus 5.6dB - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1)) + 5.6
40                       11.595960523474357
50                       10.077886574573302
60                       9.115781920699241
70                       8.627199559710412
80                       8.517041091533997
90                       8.6781227024514
100                      9.013361583532843
110                      9.449688008378061
120                      9.935278683957641
130                      10.438231257430925
140                      10.940146484860463
150                      11.430804310705588
160                      11.905024055797595
170                      12.360868824773465
180                      12.79940292774389
190                      13.222938315302073
200                      13.62851153048662
210                      14.058278518607201
220                      14.470835498362428
230                      14.83767427086108
240                      15.236169184186599
250                      15.661910078229964
260                      16.127063417317324
270                      16.64747661003573
280                      17.23689768204558
290                      17.7929412039218
300                      18.631263018627862
310                      19.506739148397898
