% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 18:16
% Table:              AF both bars 180ohms Correct dimentions - Global Evaluation 1
% freq (MHz)                                      20*log10(1/abs(emw.Vport_1)) + 5.6
40                                                11.2396971894629
50                                                9.783043893940924
60                                                8.885985364574504
70                                                8.457425840186545
80                                                8.394535949753678
90                                                8.588909332633829
100                                               8.946264068439872
110                                               9.396046136236507
120                                               9.891939558677121
130                                               10.40121545964989
140                                               10.907865658055847
150                                               11.402631990124313
160                                               11.88108462508791
170                                               12.341995550169251
180                                               12.787087381939253
190                                               13.216338311258633
200                                               13.627046172695286
210                                               14.11324822776236
220                                               14.481495552505082
230                                               14.895490549482528
240                                               15.334208876917398
250                                               15.809492418006004
260                                               16.337782993728943
270                                               16.93562496403171
280                                               17.56769697825441
290                                               18.327670126284154
300                                               19.23792398411001
310                                               20.225617129720103
