% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 18:26
% Table:              AF 50 ohms correct dimentions - Global Evaluation 1
% freq (MHz)                                      20*log10(1/abs(emw.Vport_1))
40                                                13.616242029365326
45                                                11.930741030814918
50                                                10.301973579319597
55                                                8.773748107111722
60                                                7.450520029218185
65                                                6.486162153905886
70                                                6.016769407198673
75                                                6.057963876225143
80                                                6.4864811068687755
85                                                7.131631146788565
90                                                7.858362250610281
95                                                8.588832511807114
100                                               9.28314290751658
105                                               9.926674759631128
110                                               10.513877359153433
115                                               11.047290022847655
120                                               11.530722070393724
125                                               11.968665420645985
130                                               12.365607320343731
135                                               12.725738438622269
140                                               13.05318812672374
145                                               13.350550820467896
150                                               13.621216867603614
155                                               13.867909429979528
160                                               14.093140485829366
165                                               14.29964307778113
170                                               14.488794793059444
175                                               14.66303924020629
180                                               14.82428587440274
185                                               14.973678914491746
190                                               15.11166839290758
195                                               15.238561201446306
200                                               15.356852249752713
205                                               15.484646061096544
210                                               15.654843556809572
215                                               15.744966620836351
220                                               15.851999258991116
225                                               15.966439178713554
230                                               16.088802439890184
235                                               16.220962552778317
240                                               16.365499175278366
245                                               16.52530405777488
250                                               16.703393675946323
255                                               16.90276366805038
260                                               17.126223478906006
265                                               17.376161855991825
270                                               17.653972036008664
275                                               17.95761532475324
280                                               18.270983769676516
285                                               18.668312168844075
290                                               19.104499955539282
295                                               19.547991848387515
300                                               20.01792865941028
305                                               20.514009227226822
310                                               21.03387773883176
