% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 18:38
% Table:              AF 50 ohms fine tune dimentions - Global Evaluation 1
% freq (MHz)                                      20*log10(1/abs(emw.Vport_1))
40                                                13.825875359688167
50                                                10.528477049625305
60                                                7.657951263803218
70                                                6.121310145467022
80                                                6.485284748911316
90                                                7.819801502255968
100                                               9.245312487283211
110                                               10.488695236779877
120                                               11.52102549379854
130                                               12.370527637231826
140                                               13.071196957468434
150                                               13.65206297436509
160                                               14.135763614895026
170                                               14.541265309913367
180                                               14.885812278146842
190                                               15.182156769651126
200                                               15.435204114446048
210                                               15.639900872005917
220                                               15.920607534386033
230                                               16.13927243328126
240                                               16.38814210087778
250                                               16.684715018814522
260                                               17.05068233253978
270                                               17.507073069827705
280                                               18.07452196903393
290                                               18.809853906606673
300                                               19.607947816129425
310                                               20.538689913934313
