% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 19:04
% Table:              50Ohms fine tune height - Global Evaluation 1
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
40                       14.193569055517782
50                       10.901230793013049
60                       7.974740274218931
70                       6.266353644718966
80                       6.472374931339014
90                       7.766708458226356
100                      9.2062597809662
110                      10.473802230962995
120                      11.52829623339299
130                      12.395881810680704
140                      13.11071800857691
150                      13.702314379935954
160                      14.193682968012244
170                      14.603426654885334
180                      14.948181645510756
190                      15.241999017183726
200                      15.492052096556254
210                      15.74207974885076
220                      15.974851507465628
230                      16.16081410652338
240                      16.383932136680386
250                      16.651197917092734
260                      16.98412298199386
270                      17.40470486198483
280                      17.923719425847136
290                      18.590607271452157
300                      19.393027237863336
310                      20.297319920926725
