% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 4 2023, 10:43
% Table:              AF big range high res 50 ohms - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
10                       27.836456064858083
12.5                     25.9096457423033
15                       24.34233598084306
17.5                     22.97341449360904
20                       21.756007351265957
22.5                     20.643447017196426
25                       19.60348850909396
27.5                     18.623873656250247
30                       17.68588700862448
32.5                     16.779895596054608
35                       15.900483752521232
37.5                     15.03754505488895
40                       14.188050904492266
42.5                     13.349717236558165
45                       12.522979616295162
47.5                     11.706530135258626
50                       10.90354913185739
52.5                     10.119474752617268
55                       9.36288074975603
57.5                     8.643394309931832
60                       7.981475447437152
62.5                     7.394492191487386
65                       6.902970276291374
67.5                     6.525507209897983
70                       6.274956092388039
72.5                     6.155146719714754
75                       6.1596847177081235
77.5                     6.273438679722021
80                       6.475966172341575
82.5                     6.745354606410543
85                       7.059418557983292
87.5                     7.404899338733896
90                       7.766031377926007
92.5                     8.132702343938941
95                       8.497675653598861
97.5                     8.85599988903557
100                      9.20476139636725
102.5                    9.541329219631665
105                      9.864841686031188
107.5                    10.174796730897611
110                      10.471078442964403
112.5                    10.75384807820857
115                      11.023446060053143
117.5                    11.280323712033077
120                      11.524996066683691
122.5                    11.757366082623422
125                      11.97948225217808
127.5                    12.191024817275913
130                      12.392526897412408
132.5                    12.584504788161329
135                      12.767452477384344
137.5                    12.941839455564752
140                      13.108110092061496
142.5                    13.266683819364836
145                      13.417955855969465
147.5                    13.562298314765311
150                      13.700061640950603
152.5                    13.831576396907948
155                      13.957155393364493
157.5                    14.077095990284526
160                      14.191682188233862
162.5                    14.301186254686318
165                      14.405870107528859
167.5                    14.505986921934165
170                      14.601783076509136
172.5                    14.693499954353673
175                      14.781374626576042
177.5                    14.865638142788011
180                      14.94650988438535
182.5                    15.02418513892608
185                      15.098814771658642
187.5                    15.170511833033252
190                      15.239403573710346
192.5                    15.305900496048238
195                      15.369303051298287
197.5                    15.43024399547578
200                      15.488628496179327
202.5                    15.54415989641762
205                      15.597019784129095
207.5                    15.646917079597308
210                      15.728053527084844
212.5                    15.740328539566628
215                      15.828947956043349
217.5                    15.947838730107442
220                      15.976605444586669
222.5                    16.01626259043128
225                      16.06180820914129
227.5                    16.109988485337375
230                      16.16045055283161
232.5                    16.212537691866263
235                      16.267212586844447
237.5                    16.324082316971506
240                      16.383404837327816
242.5                    16.445472245958776
245                      16.51060439594498
247.5                    16.57913982927113
250                      16.651429559409962
252.5                    16.72783211278797
255                      16.808708900959843
257.5                    16.89441940124224
260                      16.98531574482423
262.5                    17.081736270924537
265                      17.183997352206973
267.5                    17.29238170316671
270                      17.40711542816661
272.5                    17.52787172882029
275                      17.655396939796336
277.5                    17.78880012347522
280                      17.92660647043812
282.5                    18.06486709524229
285                      18.19823819270247
287.5                    18.37791787491366
290                      18.59941254750181
292.5                    18.797204139780895
295                      18.993046417533826
297.5                    19.194506679349136
300                      19.403053022306384
302.5                    19.618918286121477
305                      19.842028156562673
307.5                    20.072168155935465
310                      20.309053801708707
312.5                    20.552361271789295
315                      20.801741510007396
317.5                    21.056828668406773
320                      21.317246541198426
322.5                    21.582614161083185
325                      21.852550918159825
327.5                    22.12668128070373
330                      22.40463909589564
332.5                    22.686071412677688
335                      22.970641754432183
337.5                    23.258032760007282
340                      23.547948124502824
342.5                    23.840113845823954
345                      24.13435791901184
347.5                    24.430246989870756
350                      24.727725438503768
