% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 4 2023, 11:36
% Table:              AF 60 ohms plus 0 - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
40                       12.776593526844096
50                       9.65576521876912
60                       7.022576660767279
70                       5.590007165803797
80                       5.771736310473089
90                       6.87552262461368
100                      8.154448819900612
110                      9.318601830128861
120                      10.310443163909682
130                      11.14107911331647
140                      11.835163075618198
150                      12.41704939637858
160                      12.906606768552578
170                      13.320508388319016
180                      13.674121807557942
190                      13.98062684749759
200                      14.246454460601983
210                      14.515597028883969
220                      14.768335689711417
230                      14.975159185253926
240                      15.219461387390796
250                      15.50677604273551
260                      15.857206633821619
270                      16.29189898824597
280                      16.8210577217324
290                      17.474877951153424
300                      18.282267864575353
310                      19.183400036505265
