% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 3 2023, 18:16
% Table:              AF both bars 180Ohms + 5.6 - Global Evaluation 1
% freq (MHz)                                      20*log10(1/abs(emw.Vport_1)) + 5.6
40                                                9.922125666992832
50                                                8.863309217690151
60                                                8.298626667459548
70                                                8.110728377070021
80                                                8.199656673920826
90                                                8.480011191019136
100                                               8.886066549248252
110                                               9.368168376428363
120                                               9.890060478636663
130                                               10.428179807595765
140                                               10.974363213777533
150                                               11.528113326334292
160                                               12.069138903781095
170                                               12.584961519804569
180                                               13.129823849321262
190                                               13.642020031250235
200                                               14.157951714662342
210                                               14.685681363412776
220                                               15.23958574824402
230                                               15.844586447514125
240                                               16.557399211870475
250                                               17.638568363432512
260                                               19.842963158817717
270                                               19.15162272605285
280                                               20.698999031781792
290                                               23.300382917243894
300                                               28.545051580405186
310                                               33.62874549636266
