Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor
30000000,-0.7344410498,0.9189205154,-113.3847765,-0.3647232543,-0.8434404907,-2.312549257
30082222,-0.7261319223,0.9197999971,-115.4784002,-0.3956711027,-0.8303471643,-2.098579246
30164444,-0.7344532589,0.9189192238,-116.3032727,-0.4071936883,-0.8237753578,-2.023055321
30246666,-0.7418570586,0.9181362763,-117.1213815,-0.4185572874,-0.8171805303,-1.952374394
30328888,-0.7495229839,0.9173263122,-117.9637967,-0.4301467503,-0.8102230164,-1.883596739
30411111,-0.7591088348,0.9163144984,-118.7868607,-0.4412537241,-0.803073727,-1.819981754
30493333,-0.7676755001,0.915411207,-119.6118893,-0.4523250758,-0.7958515588,-1.759468138
30575555,-0.7736620625,0.9147804969,-120.4980213,-0.4642589749,-0.7882175853,-1.697797195
30657777,-0.7827257089,0.9138264297,-121.3127465,-0.4749239932,-0.7807214255,-1.643887099
30740000,-0.7899089329,0.9130710083,-122.1565745,-0.4859681452,-0.7730029936,-1.590645397
30822222,-0.7974121277,0.9122826042,-123.0355289,-0.4973390597,-0.764796319,-1.537776501
30904444,-0.8092486827,0.9110402526,-123.8594848,-0.5075934084,-0.7565337227,-1.49043252
30986666,-0.8117299762,0.9107800334,-124.7447761,-0.5190734395,-0.7483869544,-1.441774703
31068888,-0.8170154279,0.9102259831,-125.6140942,-0.5300454957,-0.7399750757,-1.396059549
31151111,-0.8269567014,0.9091847968,-126.4523937,-0.5401963912,-0.7313035305,-1.353773447
31233333,-0.8352474402,0.908317388,-127.3082868,-0.5505342976,-0.7224627772,-1.312293858
31315555,-0.8392982347,0.9078938793,-128.2055872,-0.5615187689,-0.7134199102,-1.270518369
31397777,-0.8479306517,0.9069920229,-129.0466217,-0.5713619359,-0.7044005025,-1.232844644
31480000,-0.8538021382,0.9063791218,-129.9198984,-0.581638006,-0.6951405199,-1.195142877
31562222,-0.8601620314,0.905715705,-130.7536015,-0.5912578874,-0.6861013401,-1.16040962
31644444,-0.8696125634,0.9047307926,-131.6351348,-0.6010892517,-0.6761874877,-1.124936914
31726666,-0.877561211,0.9039032324,-132.534981,-0.6110749346,-0.6660544106,-1.089971741
31808888,-0.8837770779,0.9032566052,-133.4201044,-0.6208465767,-0.6560655631,-1.056727359
31891111,-0.8895908731,0.9026522236,-134.3373556,-0.6308471683,-0.6456104763,-1.023402353
31973333,-0.8954707955,0.902041379,-135.2095388,-0.640167975,-0.6355026461,-0.9927123364
32055555,-0.9037233475,0.9011847473,-136.0886755,-0.6492261503,-0.6250114836,-0.9627022623
32137777,-0.9102047322,0.9005125368,-136.9787747,-0.6583656202,-0.6143920077,-0.933207915
32220000,-0.9206769967,0.8994274755,-137.8856163,-0.6672020575,-0.6031676369,-0.904025445
32302222,-0.9274791601,0.8987233844,-138.7659327,-0.6758607706,-0.5923815834,-0.8764846388
32384444,-0.9375930607,0.8976775147,-139.669522,-0.6843212643,-0.5809727426,-0.8489766034
32466666,-0.9432657935,0.8970914351,-140.5781383,-0.6929953566,-0.5696757663,-0.8220484609
32548888,-0.9534102734,0.89604431,-141.4888624,-0.7011431434,-0.5579370017,-0.7957533451
32631111,-0.9625745787,0.8950994104,-142.4045694,-0.7092215456,-0.5460840172,-0.7699766322
32713333,-0.9702663859,0.8943071042,-143.3005442,-0.7170387307,-0.5344536045,-0.745362254
32795555,-0.9798800291,0.8933178223,-144.2107003,-0.7246353416,-0.5224177957,-0.7209388856
32877777,-0.9875444748,0.8925299046,-145.1352219,-0.7323238576,-0.5102072111,-0.6966961487
32960000,-0.9960654778,0.8916547472,-146.0447605,-0.7396045824,-0.4980293665,-0.6733724727
33042222,-1.005356696,0.8907014621,-146.9570574,-0.7466413056,-0.4856705214,-0.6504736849
33124444,-1.009824324,0.8902434434,-147.916908,-0.7542843077,-0.4728515324,-0.6268876703
33206666,-1.023531442,0.8888396668,-148.7759149,-0.7600880631,-0.4607625089,-0.6061962176
33288888,-1.033492104,0.887820962,-149.6904682,-0.7664661393,-0.4480577171,-0.5845760095
33371111,-1.043728123,0.8867753122,-150.6290931,-0.7727918429,-0.4349289849,-0.562802246
33453333,-1.052656762,0.8858642221,-151.5545245,-0.7789145384,-0.4219568247,-0.5417241608
33535555,-1.064221779,0.8846855037,-152.4681588,-0.7844984863,-0.4089383394,-0.5212735863
33617777,-1.072455899,0.8838472297,-153.413309,-0.7903876511,-0.3955670443,-0.5004721971
33700000,-1.082277653,0.8828483656,-154.338008,-0.7957681733,-0.3823274133,-0.480450747
33782222,-1.091993849,0.8818613473,-155.2910112,-0.8011204235,-0.3686265089,-0.4601386983
33864444,-1.102192888,0.8808264666,-156.2215617,-0.8060543997,-0.3551500655,-0.4406030979
33946666,-1.112916046,0.8797397139,-157.1410728,-0.8106485763,-0.341746763,-0.4215720264
34028888,-1.122956639,0.8787233523,-158.0866731,-0.8152351265,-0.3279427061,-0.4022676348
34111111,-1.136279996,0.8773765046,-159.0285028,-0.8192578457,-0.3140161032,-0.3832933732
34193333,-1.145699457,0.8764255446,-159.9369647,-0.823240336,-0.300661079,-0.3652166516
34275555,-1.156220431,0.8753645976,-160.8775908,-0.8270627321,-0.2867584628,-0.3467191201
34357777,-1.168172428,0.8741609028,-161.8032418,-0.8304438731,-0.2729839878,-0.3287205755
34440000,-1.181536954,0.8728169112,-162.7701875,-0.833648701,-0.2585327906,-0.3101219858
34522222,-1.191105343,0.8718559442,-163.6937492,-0.8367852478,-0.2447922313,-0.2925388944
34604444,-1.203455298,0.8706171844,-164.6113086,-0.8394036419,-0.2310320491,-0.2752335557
34686666,-1.214049729,0.8695559148,-165.5525447,-0.8420578189,-0.2169472715,-0.2576394004
34768888,-1.22677149,0.8682832546,-166.5167974,-0.8443519075,-0.2024491704,-0.2397687132
34851111,-1.240104625,0.8669514329,-167.4356512,-0.8461899473,-0.1885931075,-0.2228732545
34933333,-1.250574112,0.8659070876,-168.3879181,-0.8481844171,-0.1742936569,-0.2054902842
35015555,-1.262734992,0.8646956027,-169.3560464,-0.8498176021,-0.1597138956,-0.1879390297
35097777,-1.27681346,0.8632952015,-170.2876356,-0.8509216658,-0.1456397052,-0.1711552438
35180000,-1.29031454,0.8619543644,-171.246451,-0.8519143938,-0.1311761865,-0.1539781314
