% Model:              freespace_bicon_frame_antenna_10_4_23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 13 2023, 11:46
% Table:              Table 19 - VSWR
% freq (MHz)                                      Voltage standing wave ratio (1)
40                                                53.97830668618595
45                                                34.14725343512657
50                                                20.724275745927997
55                                                12.207949208156101
60                                                7.073051332840593
65                                                4.105044372232295
70                                                2.4494568401669863
70                                                2.4494568401669863
70.5                                              2.332546405941024
71                                                2.222620919142839
71.5                                              2.11929758710834
72                                                2.022214310620266
72.5                                              1.931033115625991
73                                                1.845439270384401
73.5                                              1.7651480050153547
74                                                1.6898986599611763
74.5                                              1.6194624993287883
75                                                1.553647161219141
75.5                                              1.4923042021265378
76                                                1.435341202195302
76.5                                              1.382740600774796
77                                                1.334588904240565
77.5                                              1.2911211134471443
78                                                1.2527844820845222
78.5                                              1.2203163965128823
79                                                1.194796927488454
79.5                                              1.1775605407260492
80                                                1.169796588827671
80.5                                              1.1718843153122722
81                                                1.1830082600152865
81.5                                              1.2015112959535779
82                                                1.2255943286106643
82.5                                              1.253760386235867
83                                                1.2849074353483525
83.5                                              1.3182781367266425
84                                                1.3533382782396517
84.5                                              1.3897166674668215
85                                                1.427146776321167
85                                                1.427146776321167
90                                                1.8311428223365147
95                                                2.2497601637720415
100                                               2.6551190231935435
105                                               3.032324754006127
110                                               3.3732209361069247
115                                               3.674037476338396
120                                               3.9338482778744717
125                                               4.153482406609555
130                                               4.334780706012083
135                                               4.480173435872742
140                                               4.592341158874785
145                                               4.6740308194524225
150                                               4.727943536769951
155                                               4.756673842899117
160                                               4.762670290127863
165                                               4.748225804699302
170                                               4.7154820102665544
175                                               4.66644431956239
180                                               4.602996590939467
185                                               4.526922072637831
190                                               4.439915774766205
195                                               4.343590690507955
200                                               4.239449169479105
205                                               4.128609527797944
210                                               4.009618474569821
215                                               3.8464623974626377
220                                               3.763492589116456
225                                               3.6458723621546794
230                                               3.525392286826284
235                                               3.4061048872457587
240                                               3.2898522652454294
245                                               3.17814199931165
250                                               3.0723510757464334
255                                               2.9737454531456113
260                                               2.883403902273388
265                                               2.802063308936802
270                                               2.7297926746210166
275                                               2.665056910086132
280                                               2.602346005791785
285                                               2.5790286138081386
290                                               2.687232276965036
295                                               2.6482472854125403
300                                               2.634683912339882
305                                               2.6362525214941885
310                                               2.646784420461103
315                                               2.662695244108812
320                                               2.6813283324986643
325                                               2.700531332417256
330                                               2.7185594490887777
335                                               2.734050221881333
340                                               2.746029000875288
345                                               2.753888246334168
350                                               2.7573605169462403
355                                               2.756482761629838
360                                               2.751548069148604
365                                               2.7430623456564622
370                                               2.7316871477279996
375                                               2.7181760371377544
380                                               2.7032474108272018
385                                               2.687827512884713
390                                               2.6704007558130876
395                                               2.6626566666644105
400                                               2.655669253180851
