% Model:              freespace_bicon_frame_antenna_10_4_23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 9 2023, 16:56
% Table:              Table 19 - VSWR
% freq (MHz)             Voltage standing wave ratio (1)
40                       54.45397201810476
50                       20.839515726912012
60                       7.087424758289035
70                       2.4483681070301015
80                       1.171010706591301
90                       1.8348417278366294
100                      2.6594878853716977
110                      3.3774971805844416
120                      3.937477946378472
130                      4.337390593415764
140                      4.593795611594927
150                      4.728302699728153
160                      4.762121268944363
170                      4.71432452856036
180                      4.601559490014627
190                      4.438537794266965
200                      4.238658823383432
210                      4.002932073639151
220                      3.7627302685801065
230                      3.5264035034430794
240                      3.2917397657637992
250                      3.074874964420709
260                      2.886536101058804
270                      2.733942140155731
280                      2.6103863589000946
290                      2.690835998389199
300                      2.636929191120359
310                      2.6490338315832553
320                      2.68361372711036
330                      2.720795348630807
