% Model:              freespace_bicon_frame_antenna_10_4_23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 9 2023, 15:25
% Table:              Table 21 - Global Evaluation 4
% freq (MHz)                                      real(emw.Zport_1) (Ω)                             imag(emw.Zport_1) (Ω)
40                                                12.482136371063817                                -174.417047419286
50                                                15.470208639314086                                -114.41142865946763
60                                                21.34541548391047                                 -68.29038542133888
70                                                30.44794303953143                                 -29.993647542357344
80                                                43.53496082742331                                 3.2310529841217646
90                                                61.64329037482786                                 32.234079592879716
100                                               85.80950288839509                                 56.295183783780324
110                                               116.42255647227277                                73.13204714910583
120                                               152.07194134900277                                79.2450240507239
130                                               188.36261772237467                                71.4312197825448
140                                               218.2838275473525                                 49.567472737197726
150                                               235.4134900808947                                 18.489593755701303
160                                               237.82584207015725                                -13.900828177030533
170                                               228.59166428279738                                -40.990044803533046
180                                               212.86750319097467                                -59.90685639129744
190                                               195.0781777574438                                 -70.88809307544156
200                                               177.93050433915909                                -75.58467472776634
210                                               162.63593148627342                                -75.67396103458903
220                                               150.29509069206293                                -72.20599546440164
230                                               139.99696903844682                                -67.61413985158816
240                                               132.01677826775685                                -61.59125767522897
250                                               126.16813948749363                                -54.87459808790144
260                                               122.24765026317212                                -47.87689523042347
270                                               120.00901044686503                                -40.833332943954346
280                                               119.0756780324122                                 -32.97145172076891
290                                               125.77727660517633                                -30.377352109162857
300                                               125.04072670414777                                -26.78985059727969
310                                               127.19911570083796                                -23.945095662342048
320                                               129.68744776606562                                -22.60585784897576
330                                               131.74997487707125                                -22.488819773732107
340                                               132.97585102213412                                -23.123873253834127
350                                               133.25267143557167                                -23.967826502271993
360                                               132.73056958846692                                -24.54508241723681
370                                               131.72637090361872                                -24.544379538044886
380                                               130.60245431745616                                -23.83212592174191
390                                               129.71701800905686                                -22.325006452849703
400                                               129.69477236299426                                -20.473793167402786
410                                               130.3977793114919                                 -18.4151266799876
420                                               132.1224493845034                                 -16.54874237389864
430                                               134.86950563352733                                -15.394741535335148
440                                               138.37609949505577                                -15.536508175237778
450                                               142.00858246005978                                -17.46926782433822
460                                               144.77540093667426                                -21.304397568986243
470                                               145.63532509698902                                -26.463922878418604
480                                               144.09261209257738                                -31.692528386595892
490                                               140.74354522507318                                -35.64526318291923
500                                               137.20169551069299                                -38.22761350314478
510                                               133.0771247210007                                 -41.4440267073815
520                                               125.84943579302201                                -42.90188743115769
530                                               119.00660395636334                                -40.32734344276685
540                                               114.59148558138094                                -35.83574211377019
550                                               112.459272595618                                  -31.179744407388515
560                                               111.74775553636496                                -27.322786289677527
570                                               111.42369550213851                                -24.331295591046356
580                                               111.10582931231508                                -21.67739584256208
590                                               110.63661283599137                                -19.042238541996003
600                                               110.21164616858924                                -16.00149901990627
610                                               110.09346561589365                                -12.34798808057217
620                                               110.66303379576698                                -7.71268060305258
630                                               113.28562357581826                                -1.419069105858238
640                                               122.51018529275666                                4.4510436326471225
650                                               133.6990175841796                                 -1.6022905018964995
660                                               134.01190025023604                                -9.238583182785828
670                                               132.68286762160844                                -12.223768234835966
680                                               132.12013812458255                                -13.993468336877994
690                                               131.74327798317918                                -15.72239313392384
700                                               131.07007686388178                                -17.50716648792598
