% Model:              freespace_bicon_frame_antenna_10_4_23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 9 2023, 16:59
% Table:              Table 20 - s11
% freq (MHz)                                      S11 (1)
40                                                -0.32793060397468365
50                                                -0.8516029791830337
60                                                -2.500215344425199
70                                                -7.597005405971942
80                                                -22.244923319133655
90                                                -10.605478632713186
100                                               -6.862191873066949
110                                               -5.296416041248885
120                                               -4.504630234442954
130                                               -4.071735912745816
140                                               -3.83548828828034
150                                               -3.7218771417231142
160                                               -3.693883985414888
170                                               -3.732194107143616
180                                               -3.8268575688530984
190                                               -3.9731616580029785
200                                               -4.1693053700469465
210                                               -4.4192992987061865
220                                               -4.724842657994745
230                                               -5.064645055123625
240                                               -5.452784882308346
250                                               -5.869573836020329
260                                               -6.2887551745454555
270                                               -6.6782716065226655
280                                               -7.045804028388511
290                                               -6.789073089105103
300                                               -6.936417340695825
310                                               -6.896645679563602
320                                               -6.794607110164321
330                                               -6.688907967695221
340                                               -6.612822266254128
350                                               -6.580894365248481
360                                               -6.594183302464191
370                                               -6.644584533185435
380                                               -6.7184934373492915
390                                               -6.799350197177417
400                                               -6.840559693814072
410                                               -6.842691558298459
420                                               -6.780873152353467
430                                               -6.651687010191944
440                                               -6.471072371338949
450                                               -6.271844738250464
460                                               -6.09433583384846
470                                               -5.974897443407516
480                                               -5.936639873096505
490                                               -5.978564682702114
500                                               -6.049710724041847
510                                               -6.1149447367102425
520                                               -6.349376201347504
530                                               -6.74477392326234
540                                               -7.1603400741083085
550                                               -7.493720330520937
560                                               -7.709954066267024
570                                               -7.857185050313948
580                                               -7.983696206912244
590                                               -8.114319536404622
600                                               -8.24700483812968
610                                               -8.35708481392955
620                                               -8.400193388818344
630                                               -8.23100261960246
640                                               -7.514870757167341
650                                               -6.826468582081203
660                                               -6.768831850684503
670                                               -6.8111481839387045
680                                               -6.819420863235548
690                                               -6.81474363043818
700                                               -6.822181210401981
