Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
30000000,-0.6195248986,-111.0075866,-65.16717434,46.48844726,0.0081429283,-8.505233917,
30071111,-0.5668968824,-111.740372,-82.61042382,25.85228036,0.03549404115,-8.767073232,
30142222,-0.5626759471,-112.4553616,-86.97595404,52.62498781,0.03526819134,-8.7824857,
30213333,-0.5598865714,-113.173292,-81.99730395,20.87247572,0.03519990836,-8.786878022,
30284444,-0.5563169628,-113.901499,-94.72208251,34.11911602,0.03517702447,-8.795539214,
30355555,-0.5541751782,-114.6291643,-88.09412283,41.11930303,0.03590890821,-8.815959025,
30426666,-0.5510982797,-115.3536047,-92.420603,-9.952663177,0.03684874455,-8.83316815,
30497777,-0.5488603718,-116.0790839,-90.64496103,40.11359525,0.03547982914,-8.8517436,
30568888,-0.5469694231,-116.8066882,-90.86753139,-3.969240199,0.03518540689,-8.87562859,
30640000,-0.5426408299,-117.5476802,-95.94551987,4.777395167,0.03510392352,-8.887695315,
30711111,-0.5414489126,-118.2784488,-82.53495187,13.475164,0.03449794669,-8.913284806,
30782222,-0.5394648801,-119.0217269,-81.52966182,25.40063445,0.03529981728,-8.934798287,
30853333,-0.5345046334,-119.7697974,-80.67275438,-0.8279091813,0.03372517499,-8.963835775,
30924444,-0.519533155,-120.4641103,-84.39612192,16.5642432,0.02569314853,-8.977563345,
30995555,-0.5285905024,-121.2682302,-80.68428627,35.38568107,0.03310815259,-9.02537292,
31066666,-0.5804522357,-121.721228,-64.78047949,-173.0357801,0.03109275352,-8.913858304,
31137777,-0.5225731104,-122.7209061,-81.89692283,8.967036498,0.02489085837,-9.015520723,
31208888,-0.5225233091,-123.5033826,-81.88825543,33.391911,0.03258370581,-9.078787201,
31280000,-0.5211641427,-124.2509039,-83.35503173,26.16395287,0.03315383578,-9.090608247,
31351111,-0.5201762874,-125.0087704,-82.99210959,33.79518789,0.03486231615,-9.114925141,
31422222,-0.5178464707,-125.7800271,-83.32304723,28.32256729,0.03411815506,-9.171959261,
31493333,-0.5164931304,-126.5299329,-83.35587261,29.73699583,0.03528233177,-9.180791979,
31564444,-0.5150678931,-127.289044,-81.66807325,30.61363487,0.03579307023,-9.202955049,
31635555,-0.5147137854,-128.0565291,-82.39960428,16.75378527,0.03615744004,-9.212776534,
31706666,-0.512389961,-128.8332093,-82.89827674,1.694399738,0.03578356519,-9.247418657,
31777777,-0.5113857344,-129.5914519,-81.4936007,13.36277021,0.03662594868,-9.24367052,
31848888,-0.5112649629,-130.3739743,-83.37996587,18.41717747,0.0357217925,-9.264605502,
31920000,-0.510885623,-131.1491571,-80.31188771,15.44282894,0.03408225705,-9.273172782,
31991111,-0.5115417634,-131.9179486,-80.31726696,-4.164778925,0.03343337179,-9.305857888,
32062222,-0.5102641902,-132.7021096,-78.17039705,30.39122408,0.03430598815,-9.31181517,
32133333,-0.5103221006,-133.4811318,-77.38444512,18.16283699,0.03223861125,-9.34183696,
32204444,-0.5111219747,-134.2591167,-81.23751702,-8.876464197,0.03239570693,-9.377591425,
32275555,-0.5076928968,-135.0212071,-79.43895905,18.54981458,0.03545450843,-9.420539192,
32346666,-0.5121450684,-135.8037426,-76.95714625,16.0564064,0.03155924637,-9.404226031,
32417777,-0.5123866732,-136.6040509,-75.30412242,23.77955052,0.03108719537,-9.42885044,
32488888,-0.5133721347,-137.3854272,-75.92386832,11.74075307,0.03042684738,-9.455888106,
32560000,-0.5131756013,-138.1803315,-78.44465912,19.66792467,0.03081968022,-9.466971049,
32631111,-0.513250486,-138.9661583,-73.7096791,16.45345898,0.03124124601,-9.487987715,
32702222,-0.5135727605,-139.7725263,-77.31925476,16.49778898,0.03152564536,-9.512882194,
32773333,-0.5151728934,-140.5516016,-75.64568685,25.30183815,0.02998508953,-9.536287956,
32844444,-0.5164253262,-141.3384652,-77.18554196,8.557448228,0.03050108541,-9.563141089,
32915555,-0.5171971609,-142.134476,-80.018966,12.54598067,0.03140385234,-9.585196437,
32986666,-0.518335539,-142.9234666,-76.38699948,13.81786395,0.03201372429,-9.601717127,
33057777,-0.5191599102,-143.7208149,-73.75565368,23.55763269,0.03184121848,-9.626917892,
33128888,-0.5209409907,-144.5112243,-75.40615453,13.38070666,0.03121529596,-9.65662493,
33200000,-0.5214265336,-145.3354483,-76.25763788,3.314054574,0.03210250704,-9.685132,
33271111,-0.5227795372,-146.1155639,-74.32460271,11.30762777,0.03067036121,-9.699754907,
33342222,-0.5240471587,-146.9217891,-75.61575674,26.66869489,0.03000434722,-9.722076771,
33413333,-0.525769762,-147.725453,-74.78303472,24.70032501,0.03001418599,-9.735637565,
33484444,-0.5268017844,-148.535167,-75.13851915,20.10464794,0.02977054618,-9.77007294,
33555555,-0.5270369751,-149.3553911,-76.03028177,21.88589587,0.02990537899,-9.783105326,
33626666,-0.5286932906,-150.1667549,-75.29818402,21.71281254,0.03077999801,-9.799996105,
