% Model:              biconAndDipole_box_moveBicon_correctRoomSize_1.15.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 28 2022, 18:10
% Table:              Table 5 - Global Evaluation 4
% biconX (m)             biconY (m)               biconZ (m)               freq (MHz)               10 * log10( abs(emw.Pport_1) /.001)
-0.698                   0.014                    -1.204                   25                       -129.69582486832456
-0.698                   0.014                    -1.204                   26                       -132.57616838231857
-0.698                   0.014                    -1.204                   27                       -120.93347376521393
-0.698                   0.014                    -1.204                   28                       -115.52702648603073
-0.698                   0.014                    -1.204                   29                       -111.78478855800734
-0.698                   0.014                    -1.204                   30                       -108.83281727512451
-0.698                   0.014                    -1.204                   31                       -106.3442920660012
-0.698                   0.014                    -1.204                   32                       -104.16052146689356
-0.698                   0.014                    -1.204                   33                       -102.19213992632743
-0.698                   0.014                    -1.204                   34                       -100.38367546149246
-0.698                   0.014                    -1.204                   35                       -98.6982134784296
-0.698                   0.014                    -1.204                   36                       -97.10986078575164
-0.698                   0.014                    -1.204                   37                       -95.59968399536598
-0.698                   0.014                    -1.204                   38                       -94.15336018681498
-0.698                   0.014                    -1.204                   39                       -92.75973938282787
-0.698                   0.014                    -1.204                   40                       -91.40992355163918
-0.698                   0.014                    -1.204                   41                       -90.09665324566717
-0.698                   0.014                    -1.204                   42                       -88.81388522505758
-0.698                   0.014                    -1.204                   43                       -87.55649280675664
-0.698                   0.014                    -1.204                   44                       -86.32004736126625
-0.698                   0.014                    -1.204                   45                       -85.10065473378512
-0.698                   0.014                    -1.204                   46                       -83.8948294829123
-0.698                   0.014                    -1.204                   47                       -82.69939544506647
-0.698                   0.014                    -1.204                   48                       -81.51140464296886
-0.698                   0.014                    -1.204                   49                       -80.32806879361883
-0.698                   0.014                    -1.204                   50                       -79.14669909181836
-0.698                   0.014                    -1.204                   50.5                     -78.55593163431604
-0.698                   0.014                    -1.204                   51                       -77.96466078611903
-0.698                   0.014                    -1.204                   51.5                     -77.37255483279661
-0.698                   0.014                    -1.204                   52                       -76.77928032619671
-0.698                   0.014                    -1.204                   52.5                     -76.18449513139916
-0.698                   0.014                    -1.204                   53                       -75.58784955054546
-0.698                   0.014                    -1.204                   53.5                     -74.98898437824505
-0.698                   0.014                    -1.204                   54                       -74.3875288215906
-0.698                   0.014                    -1.204                   54.5                     -73.78309825436925
-0.698                   0.014                    -1.204                   55                       -73.17529176896352
-0.698                   0.014                    -1.204                   55.5                     -72.5636894902519
-0.698                   0.014                    -1.204                   56                       -71.94784959690739
-0.698                   0.014                    -1.204                   56.5                     -71.32730500113418
-0.698                   0.014                    -1.204                   57                       -70.7015596165983
-0.698                   0.014                    -1.204                   57.5                     -70.07008413683421
-0.698                   0.014                    -1.204                   58                       -69.4323112323334
-0.698                   0.014                    -1.204                   58.5                     -68.78763004981535
-0.698                   0.014                    -1.204                   59                       -68.13537988125064
-0.698                   0.014                    -1.204                   59.5                     -67.4748428266227
-0.698                   0.014                    -1.204                   60                       -66.80523525554706
-0.698                   0.014                    -1.204                   60.5                     -66.1256978038938
-0.698                   0.014                    -1.204                   61                       -65.43528359952518
-0.698                   0.014                    -1.204                   61.5                     -64.73294432684497
