"Freq., MHz","CST AF(f) + 5.6, dB (FreeSpace)",,,
25,15.1909306,,,
25.31,15.0836221,,,
25.62,14.977777,,,
25.93,14.8733587,,,
26.24,14.7703326,,,
26.55,14.6686652,,,
26.86,14.5683248,,,
27.17,14.4692808,,,
27.48,14.3715039,,,
27.79,14.274966,,,
28.1,14.1796403,,,
28.41,14.0855009,,,
28.72,13.9925233,,,
29.03,13.9006835,,,
29.34,13.8099591,,,
29.65,13.720328,,,
29.96,13.6317695,,,
30.27,13.5442634,,,
30.58,13.4577904,,,
30.89,13.3723322,,,
31.2,13.2878708,,,
31.51,13.2043894,,,
31.82,13.1218716,,,
32.13,13.0403018,,,
32.44,12.9596648,,,
32.75,12.8799462,,,
33.06,12.8011323,,,
33.37,12.7232096,,,
33.68,12.6461656,,,
33.99,12.5699879,,,
34.3,12.4946647,,,
34.61,12.420185,,,
34.92,12.3465378,,,
35.23,12.2737129,,,
35.54,12.2017003,,,
35.85,12.1304905,,,
36.16,12.0600744,,,
36.47,11.9904433,,,
36.78,11.9215888,,,
37.09,11.853503,,,
37.4,11.7861781,,,
37.71,11.7196069,,,
38.02,11.6537823,,,
38.33,11.5886976,,,
38.64,11.5243464,,,
38.95,11.4607225,,,
39.26,11.3978201,,,
39.57,11.3356335,,,
39.88,11.2741575,,,
40.19,11.2133868,,,
40.5,11.1533166,,,
40.81,11.0939421,,,
41.12,11.0352591,,,
41.43,10.9772631,,,
41.74,10.9199501,,,
42.05,10.8633163,,,
42.36,10.8073579,,,
42.67,10.7520715,,,
42.98,10.6974536,,,
43.29,10.6435011,,,
43.6,10.5902108,,,
43.91,10.5375799,,,
44.22,10.4856056,,,
44.53,10.4342852,,,
44.84,10.3836161,,,
45.15,10.3335959,,,
45.46,10.2842224,,,
45.77,10.2354932,,,
46.08,10.1874062,,,
46.39,10.1399594,,,
46.7,10.0931508,,,
47.01,10.0469786,,,
47.32,10.0014408,,,
47.63,9.9565358,,,
47.94,9.9122618,,,
48.25,9.8686172,,,
48.56,9.8256005,,,
48.87,9.7832099,,,
49.18,9.7414441,,,
49.49,9.7003015,,,
49.8,9.6597806,,,
50,9.6339674,,,
50.11,9.6198801,,,
50.42,9.5805985,,,
50.73,9.5419344,,,
51.04,9.5038864,,,
51.35,9.4664531,,,
51.66,9.4296331,,,
51.97,9.393425,,,
52.28,9.3578274,,,
52.59,9.3228389,,,
52.9,9.2884581,,,
53.21,9.2546834,,,
53.52,9.2215135,,,
53.83,9.1889469,,,
54.14,9.1569819,,,
54.45,9.1256171,,,
54.76,9.0948508,,,
55.07,9.0646814,,,
55.38,9.0351072,,,
55.69,9.0061265,,,
56,8.9777376,,,
56.31,8.9499385,,,
56.62,8.9227276,,,
56.93,8.8961027,,,
57.24,8.870062,,,
57.55,8.8446035,,,
57.86,8.8197249,,,
58.17,8.7954242,,,
58.48,8.7716992,,,
58.79,8.7485476,,,
59.1,8.725967,,,
59.41,8.703955,,,
59.72,8.6825092,,,
60.03,8.661627,,,
60.34,8.6413058,,,
60.65,8.6215429,,,
60.96,8.6023356,,,
61.27,8.5836811,,,
61.58,8.5655764,,,
61.89,8.5480185,,,
62.2,8.5310046,,,
62.51,8.5145315,,,
62.82,8.4985959,,,
63.13,8.4831947,,,
63.44,8.4683245,,,
63.75,8.4539821,,,
64.06,8.4401638,,,
64.37,8.4268663,,,
64.68,8.4140859,,,
64.99,8.401819,,,
65.3,8.3900619,,,
65.61,8.3788108,,,
65.92,8.3680619,,,
66.23,8.3578113,,,
66.54,8.348055,,,
66.85,8.338789,,,
67.16,8.3300093,,,
67.47,8.3217117,,,
67.78,8.3138921,,,
68.09,8.3065461,,,
68.4,8.2996696,,,
68.71,8.2932582,,,
69.02,8.2873075,,,
69.33,8.2818132,,,
69.64,8.2767706,,,
69.95,8.2721755,,,
70.26,8.2680231,,,
70.57,8.2643089,,,
70.88,8.2610283,,,
71.19,8.2581767,,,
71.5,8.2557494,,,
71.81,8.2537416,,,
72.12,8.2521486,,,
72.43,8.2509657,,,
72.74,8.2501881,,,
73.05,8.2498109,,,
73.36,8.2498294,,,
73.67,8.2502387,,,
73.98,8.2510339,,,
74.29,8.2522102,,,
74.6,8.2537627,,,
74.91,8.2556865,,,
75.22,8.2579768,,,
75.53,8.2606285,,,
75.84,8.2636369,,,
76.15,8.266997,,,
76.46,8.2707038,,,
76.77,8.2747526,,,
77.08,8.2791384,,,
77.39,8.2838563,,,
77.7,8.2889015,,,
78.01,8.294269,,,
78.32,8.299954,,,
78.63,8.3059516,,,
78.94,8.3122571,,,
79.25,8.3188656,,,
79.56,8.3257723,,,
79.87,8.3329724,,,
80.18,8.3404612,,,
80.49,8.3482339,,,
80.8,8.3562858,,,
81.11,8.3646122,,,
81.42,8.3732085,,,
81.73,8.38207,,,
82.04,8.3911921,,,
82.35,8.4005702,,,
82.66,8.4101998,,,
82.97,8.4200764,,,
83.28,8.4301954,,,
83.59,8.4405524,,,
83.9,8.4511431,,,
84.21,8.4619629,,,
84.52,8.4730076,,,
84.83,8.4842729,,,
85.14,8.4957544,,,
85.45,8.507448,,,
85.76,8.5193494,,,
86.07,8.5314545,,,
86.38,8.5437592,,,
86.69,8.5562593,,,
87,8.5689509,,,
87.31,8.58183,,,
87.62,8.5948925,,,
87.93,8.6081346,,,
88.24,8.6215524,,,
88.55,8.6351421,,,
88.86,8.6488999,,,
89.17,8.662822,,,
89.48,8.6769048,,,
89.79,8.6911446,,,
90.1,8.7055378,,,
90.41,8.7200808,,,
90.72,8.73477,,,
91.03,8.7496021,,,
91.34,8.7645735,,,
91.65,8.779681,,,
91.96,8.794921,,,
92.27,8.8102904,,,
92.58,8.8257858,,,
92.89,8.8414041,,,
93.2,8.8571421,,,
93.51,8.8729966,,,
93.82,8.8889646,,,
94.13,8.9050429,,,
94.44,8.9212287,,,
94.75,8.937519,,,
95.06,8.9539108,,,
95.37,8.9704012,,,
95.68,8.9869875,,,
95.99,9.0036669,,,
96.3,9.0204365,,,
96.61,9.0372937,,,
96.92,9.0542359,,,
97.23,9.0712604,,,
97.54,9.0883646,,,
97.85,9.1055461,,,
98.16,9.1228022,,,
98.47,9.1401305,,,
98.78,9.1575286,,,
99.09,9.1749941,,,
99.4,9.1925247,,,
99.71,9.210118,,,
100.02,9.2277719,,,
100.33,9.245484,,,
100.64,9.2632521,,,
100.95,9.2810741,,,
101.26,9.2989479,,,
101.57,9.3168714,,,
101.88,9.3348425,,,
102.19,9.3528592,,,
102.5,9.3709196,,,
102.81,9.3890216,,,
103.12,9.4071634,,,
103.43,9.425343,,,
103.74,9.4435587,,,
104.05,9.4618086,,,
104.36,9.4800909,,,
104.67,9.4984039,,,
104.98,9.5167458,,,
105.29,9.535115,,,
105.6,9.5535097,,,
105.91,9.5719285,,,
106.22,9.5903696,,,
106.53,9.6088314,,,
106.84,9.6273125,,,
107.15,9.6458113,,,
107.46,9.6643264,,,
107.77,9.6828562,,,
108.08,9.7013994,,,
108.39,9.7199545,,,
108.7,9.7385202,,,
109.01,9.757095,,,
109.32,9.7756777,,,
109.63,9.794267,,,
109.94,9.8128615,,,
110.25,9.8314601,,,
110.56,9.8500615,,,
110.87,9.8686644,,,
111.18,9.8872678,,,
111.49,9.9058704,,,
111.8,9.9244711,,,
112.11,9.9430687,,,
112.42,9.9616623,,,
112.73,9.9802507,,,
113.04,9.9988328,,,
113.35,10.0174077,,,
113.66,10.0359742,,,
113.97,10.0545315,,,
114.28,10.0730786,,,
114.59,10.0916144,,,
114.9,10.1101381,,,
115.21,10.1286488,,,
115.52,10.1471455,,,
115.83,10.1656273,,,
116.14,10.1840935,,,
116.45,10.2025431,,,
116.76,10.2209754,,,
117.07,10.2393895,,,
117.38,10.2577847,,,
117.69,10.2761601,,,
118,10.294515,,,
118.31,10.3128486,,,
118.62,10.3311603,,,
118.93,10.3494493,,,
119.24,10.3677149,,,
119.55,10.3859564,,,
119.86,10.4041732,,,
120.17,10.4223645,,,
120.48,10.4405299,,,
120.79,10.4586685,,,
121.1,10.4767798,,,
121.41,10.4948633,,,
121.72,10.5129183,,,
122.03,10.5309442,,,
122.34,10.5489404,,,
122.65,10.5669065,,,
122.96,10.5848419,,,
123.27,10.602746,,,
123.58,10.6206184,,,
123.89,10.6384585,,,
124.2,10.6562658,,,
124.51,10.6740398,,,
124.82,10.6917802,,,
125.13,10.7094863,,,
125.44,10.7271578,,,
125.75,10.7447942,,,
126.06,10.7623951,,,
126.37,10.77996,,,
126.68,10.7974886,,,
126.99,10.8149804,,,
127.3,10.832435,,,
127.61,10.8498522,,,
127.92,10.8672313,,,
128.23,10.8845722,,,
128.54,10.9018745,,,
128.85,10.9191377,,,
129.16,10.9363616,,,
129.47,10.9535458,,,
129.78,10.97069,,,
130.09,10.9877939,,,
130.4,11.0048571,,,
130.71,11.0218794,,,
131.02,11.0388604,,,
131.33,11.0557999,,,
