Frequency (MHz)	Gain (dB)	Noise Figure (dB)
10		40.37		2.53
20		40.49		1.15
30		40.49		0.83
40		40.44		0.77
50		40.43		0.80
60		40.40		0.72
70		40.39		0.70
80		40.36		0.72
90		40.36		0.75
100		40.37		0.75
110		40.34		0.74
120		40.36		0.72
130		40.42		0.71
140		40.42		0.68
150		40.43		0.67
160		40.44		0.69
170		40.40		0.75
180		40.42		0.83
190		40.44		0.91
200		40.41		0.97
210		40.44		0.98
220		40.44		0.96
230		40.47		0.92
240		40.52		0.86
250		40.48		0.82
260		40.53		0.80
270		40.57		0.81
280		40.54		0.85
290		40.49		0.90
300		40.45		0.96
