Frequency (MHz) Temperature (K) 	Gain (dB) 	Noise Figure (dB) 	Noise 
50		295.8		40.44		0.79			59.15
100		296		40.31		0.74			55.08
150		296.5		40.41		0.66			48.66
200		297.2		40.39		0.96			73.35
250		297.9		40.45		0.80			59.97
300		298.5		40.41		0.95			72.5
50		207.7		40.66		0.45			32.37
100		208.2		40.54		0.56			40.81
150		208.5		40.64		0.44			31.61
200		208.7		40.66		0.73			54.27
250		209.1		40.71		0.57			41.58
300		209.2		40.7		0.73			54.27
50		165.6		40.64		0.35			24.88
100		165.7		40.54		0.45			32.37
150		165.8		40.65		0.36			25.63
200		165.9		40.69		0.64			47.08
250		166		40.75		0.52			37.71
300		166.1		40.77		0.62			45.5
