ACQ NUM,DATETIME,SWITCH_POS,ANT POS IDX,LEN FFT LOG2,SAMPLE RATE MHZ,AMP1,AMP2,VOLTAGE,PATCH PANNEL,HPF,LPF,ATTENUATOR,ADC,CLOCK,File Number
0, 2023-03-30 18:35:58.585222, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
1, 2023-03-30 18:40:12.789873, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
2, 2023-03-30 18:44:26.994660, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
3, 2023-03-30 18:48:41.198806, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
4, 2023-03-30 18:52:55.403378, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
5, 2023-03-30 18:57:09.607840, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
6, 2023-03-30 19:01:23.812402, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
7, 2023-03-30 19:05:38.016987, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
8, 2023-03-30 19:09:52.221513, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
9, 2023-03-30 19:14:06.426113, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
10, 2023-03-30 19:18:20.630692, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
11, 2023-03-30 19:22:34.835147, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
12, 2023-03-30 19:26:49.039589, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
13, 2023-03-30 19:31:03.244318, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
14, 2023-03-30 19:35:17.448854, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
15, 2023-03-30 19:39:31.653309, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 0
16, 2023-03-30 19:43:45.857855, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
17, 2023-03-30 19:48:00.062382, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
18, 2023-03-30 19:52:14.267013, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
19, 2023-03-30 19:56:28.484234, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
20, 2023-03-30 20:00:42.688738, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
21, 2023-03-30 20:04:56.893279, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
22, 2023-03-30 20:09:11.097832, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
23, 2023-03-30 20:13:25.302366, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
24, 2023-03-30 20:17:39.506843, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
25, 2023-03-30 20:21:53.711509, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
26, 2023-03-30 20:26:07.915931, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
27, 2023-03-30 20:30:22.120571, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
28, 2023-03-30 20:34:36.325006, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
29, 2023-03-30 20:38:50.529466, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
30, 2023-03-30 20:43:04.734099, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
31, 2023-03-30 20:47:18.951332, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 1
32, 2023-03-30 20:51:33.155933, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
33, 2023-03-30 20:55:47.360432, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
34, 2023-03-30 21:00:01.564964, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
35, 2023-03-30 21:04:15.769462, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
36, 2023-03-30 21:08:29.973925, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
37, 2023-03-30 21:12:44.178537, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
38, 2023-03-30 21:16:58.383013, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
39, 2023-03-30 21:21:12.587618, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
40, 2023-03-30 21:25:26.792162, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
41, 2023-03-30 21:29:40.996610, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
42, 2023-03-30 21:33:55.201142, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
43, 2023-03-30 21:38:09.405785, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
44, 2023-03-30 21:42:23.610203, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
45, 2023-03-30 21:46:37.814840, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
46, 2023-03-30 21:50:52.019303, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
47, 2023-03-30 21:55:06.223910, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 2
48, 2023-03-30 21:59:20.428387, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
49, 2023-03-30 22:03:34.632936, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
50, 2023-03-30 22:07:48.837461, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
51, 2023-03-30 22:12:03.041988, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
52, 2023-03-30 22:16:17.246540, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
53, 2023-03-30 22:20:31.451022, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
54, 2023-03-30 22:24:45.655535, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
55, 2023-03-30 22:28:59.860056, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
56, 2023-03-30 22:33:14.064616, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
57, 2023-03-30 22:37:28.269160, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
58, 2023-03-30 22:41:42.473758, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
59, 2023-03-30 22:45:56.678228, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
60, 2023-03-30 22:50:10.882757, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
61, 2023-03-30 22:54:25.087138, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
62, 2023-03-30 22:58:39.291757, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
63, 2023-03-30 23:02:53.496396, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 3
64, 2023-03-30 23:07:07.700905, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
65, 2023-03-30 23:11:21.905460, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
66, 2023-03-30 23:15:36.109833, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
67, 2023-03-30 23:19:50.314506, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
68, 2023-03-30 23:24:04.518971, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
69, 2023-03-30 23:28:18.723528, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
70, 2023-03-30 23:32:32.927998, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
71, 2023-03-30 23:36:47.132545, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
72, 2023-03-30 23:41:01.337134, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
73, 2023-03-30 23:45:15.541692, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
74, 2023-03-30 23:49:29.758859, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
75, 2023-03-30 23:53:43.963369, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
76, 2023-03-30 23:57:58.167926, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
77, 2023-03-31 00:02:12.372387, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
78, 2023-03-31 00:06:26.576931, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
79, 2023-03-31 00:10:40.781471, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 4
80, 2023-03-31 00:14:54.986170, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
81, 2023-03-31 00:19:09.190457, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
82, 2023-03-31 00:23:23.395125, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
83, 2023-03-31 00:27:37.612401, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
84, 2023-03-31 00:31:51.816846, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
85, 2023-03-31 00:36:06.021454, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
86, 2023-03-31 00:40:20.225898, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
87, 2023-03-31 00:44:34.430448, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
88, 2023-03-31 00:48:48.634924, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
89, 2023-03-31 00:53:02.839530, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
90, 2023-03-31 00:57:17.043920, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
91, 2023-03-31 01:01:31.248531, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
92, 2023-03-31 01:05:45.453123, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
93, 2023-03-31 01:09:59.657495, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
94, 2023-03-31 01:14:13.862075, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
95, 2023-03-31 01:18:28.066609, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 5
96, 2023-03-31 01:22:42.271220, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
97, 2023-03-31 01:26:56.475738, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
98, 2023-03-31 01:31:10.680306, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
99, 2023-03-31 01:35:24.884837, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
100, 2023-03-31 01:39:39.089310, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
101, 2023-03-31 01:43:53.293844, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
102, 2023-03-31 01:48:07.498309, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
103, 2023-03-31 01:52:21.702851, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
104, 2023-03-31 01:56:35.907363, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
105, 2023-03-31 02:00:50.111875, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
106, 2023-03-31 02:05:04.316474, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
107, 2023-03-31 02:09:18.521039, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
108, 2023-03-31 02:13:32.725524, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
109, 2023-03-31 02:17:46.930049, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
110, 2023-03-31 02:22:01.134539, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
111, 2023-03-31 02:26:15.339053, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 6
112, 2023-03-31 02:30:29.543615, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
113, 2023-03-31 02:34:43.748086, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
114, 2023-03-31 02:38:57.952693, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
115, 2023-03-31 02:43:12.157163, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
116, 2023-03-31 02:47:26.361680, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
117, 2023-03-31 02:51:40.566215, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
118, 2023-03-31 02:55:54.770765, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
119, 2023-03-31 03:00:08.987994, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
120, 2023-03-31 03:04:23.192518, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
121, 2023-03-31 03:08:37.397076, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
122, 2023-03-31 03:12:51.601528, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
123, 2023-03-31 03:17:05.806086, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
124, 2023-03-31 03:21:20.010676, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
125, 2023-03-31 03:25:34.215127, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
126, 2023-03-31 03:29:48.419736, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
127, 2023-03-31 03:34:02.624307, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 7
128, 2023-03-31 03:38:16.828831, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 8
129, 2023-03-31 03:42:31.046066, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, 9V_REG, YES, 288S+, HSP50+, 13dB_FIXED, ADQ32, SRS_VIA_VALON, 8
