ACQ NUM,DATETIME,SWITCH_POS,ANT POS IDX,LEN FFT LOG2,SAMPLE RATE MHZ,AMP1,AMP2,PATCH PANNEL,HPF,LPF,ATTENUATOR,ADC,CLOCK,File Number
0, 2023-03-29 23:57:33.515278, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
1, 2023-03-30 00:01:47.719791, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
2, 2023-03-30 00:06:01.924290, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
3, 2023-03-30 00:10:16.129324, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
4, 2023-03-30 00:14:30.333633, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
5, 2023-03-30 00:18:44.537843, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
6, 2023-03-30 00:22:58.742436, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
7, 2023-03-30 00:27:12.946863, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
8, 2023-03-30 00:31:27.151405, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
9, 2023-03-30 00:35:41.355816, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
10, 2023-03-30 00:39:55.560369, 0, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
11, 2023-03-30 00:44:09.764847, 1, 0, 24, 660.0, PAS_1012, ZKL_9VNom, YES, 288S+, HSP50+, 20dB_FIXED, ADQ32, SRS_VIA_VALON, 0
