Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
50000000,-0.06286501863,-61.30888977,-62.40851216,162.0648926,-2.895169786,173.0160002,
50057777,-0.06329347112,-61.37175721,-61.42577034,162.0728747,-2.904339235,171.7390661,
50115555,-0.0625552477,-61.43606412,-61.07130412,159.9963339,-2.914998468,170.4494986,
50173333,-0.06103176414,-61.49559043,-60.69837625,158.2508066,-2.924150186,169.1999038,
50231111,-0.05957975165,-61.55073488,-60.45212202,154.8558335,-2.934490969,167.9174227,
50288888,-0.05719423737,-61.64271279,-60.26999377,151.6028604,-2.942831168,166.6663345,
50346666,-0.05484134829,-61.72499262,-59.79351877,148.0234167,-2.95199398,165.3905537,
50404444,-0.05329524493,-61.80354628,-59.83898944,143.8666595,-2.96040635,164.1268567,
50462222,-0.05158070548,-61.85326001,-59.32998781,140.0195544,-2.968129644,162.8853738,
50520000,-0.0507432471,-61.92720637,-59.39229464,136.7946837,-2.975958926,161.6110232,
50577777,-0.04795150186,-62.01910017,-58.91874162,133.6939676,-2.982350594,160.3569767,
50635555,-0.04604332452,-62.08224917,-58.99769049,129.7572816,-2.989318015,159.1009164,
50693333,-0.04345777212,-62.15579494,-59.08539188,125.8747666,-2.995561947,157.8447758,
50751111,-0.04031650316,-62.21597023,-58.87525866,124.1396501,-3.000633345,156.5862398,
50808888,-0.03893788388,-62.29140341,-58.79034517,120.2769132,-3.004889508,155.333357,
50866666,-0.03700997867,-62.37766114,-58.75777715,117.6438864,-3.011220448,154.0914954,
50924444,-0.03586688863,-62.43292792,-58.67138057,116.9034846,-3.015621451,152.8567786,
50982222,-0.03478865194,-62.48588558,-58.57998943,112.6459129,-3.018976065,151.6078613,
51040000,-0.03428396735,-62.53232674,-58.64634954,111.1300423,-3.021494062,150.3645508,
51097777,-0.03358236304,-62.59943394,-58.61372683,108.0462179,-3.024462427,149.1067543,
51155555,-0.03341181556,-62.65740097,-58.62279286,104.8821129,-3.024898245,147.8643409,
51213333,-0.03228301512,-62.72732695,-59.04430662,101.1310851,-3.024303152,146.6058611,
51271111,-0.02923826648,-62.82482433,-58.68924713,100.2018073,-3.024644156,145.3476477,
51328888,-0.02621768307,-62.91245589,-58.57407251,96.65710945,-3.02233088,144.0973418,
51386666,-0.02362662748,-63.00302063,-58.60848424,93.06658907,-3.019854178,142.8389934,
51444444,-0.02098441628,-63.05961759,-58.96677344,90.92429919,-3.016235465,141.6111259,
51502222,-0.02148133462,-63.11864547,-59.17912965,90.62152359,-3.013731039,140.3697654,
51560000,-0.01936775278,-63.17724984,-59.16595613,92.28358824,-3.01156644,139.1336086,
51617777,-0.01785271269,-63.25465256,-59.33663166,89.73580775,-3.009444667,137.9111361,
51675555,-0.01580028751,-63.34251348,-59.55931221,85.53794438,-3.005721016,136.6684471,
51733333,-0.01425357348,-63.38814774,-59.16978383,82.03771724,-3.012973715,135.5381965,
51791111,-0.01175065867,-63.45010719,-59.52886594,81.57892384,-2.997169599,134.1663818,
51848888,-0.01249768566,-63.49081829,-59.51054951,78.52281318,-2.991844975,132.9071015,
51906666,-0.01280788915,-63.53204476,-59.75283933,79.05964871,-2.985282993,131.6298339,
