Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_VSWR,
10000000,-0.2918956753,0.9669526684,35.87044992,59.51925845,
10242222,-0.3444708715,0.9611174369,33.64442553,50.43693831,
10484444,-0.4188997883,0.9529168591,31.23723131,41.47804969,
10726666,-0.5073522211,0.9432621087,28.88620388,34.24981194,
10968888,-0.6128062545,0.9318793483,26.64509031,28.35967213,
11211111,-0.7396679288,0.918367706,24.49056402,23.50010777,
11453333,-0.8837982006,0.9032544086,22.53239829,19.67277663,
11695555,-1.037673642,0.8873936526,20.848585,16.76098813,
11937777,-1.187459818,0.8722219446,19.5097811,14.65213991,
12180000,-1.315221261,0.8594862573,18.48633413,13.23348323,
12422222,-1.395870276,0.8515428098,17.73308575,12.47189716,
12664444,-1.427059601,0.8484905699,17.08726665,12.20049847,
12906666,-1.407114428,0.8504411745,16.45265213,12.37266453,
13148888,-1.348595988,0.8561900975,15.66094594,12.90724815,
13391111,-1.269263748,0.8640458977,14.68906417,13.71084701,
13633333,-1.180571903,0.8729138915,13.58314349,14.73736125,
13875555,-1.096367381,0.8814174229,12.18346755,15.86588409,
14117777,-1.013429805,0.8898739833,10.73991648,17.16101281,
14360000,-0.9390444333,0.8975275294,9.177095736,18.5174371,
14602222,-0.874240335,0.9042488878,7.559745111,19.88748583,
14844444,-0.8162475716,0.9103064531,5.891648721,21.29814818,
15086666,-0.7675587661,0.9154235097,4.214519227,22.64723333,
15328888,-0.7244039257,0.9199830031,2.51859262,23.99468959,
15571111,-0.6863234851,0.9240252219,0.8063266309,25.32452572,
15813333,-0.6537270767,0.9274994188,-0.933379475,26.58598577,
16055555,-0.6248738836,0.9305855526,-2.622634451,27.81244577,
16297777,-0.5994164205,0.9333170055,-4.336524104,28.99265429,
16540000,-0.5792303422,0.9354885642,-6.02708857,30.00225528,
16782222,-0.5594962832,0.9376163801,-7.762414207,31.05969777,
17024444,-0.5428555125,0.9394144245,-9.451043433,32.01115789,
17266666,-0.5282290423,0.9409976696,-11.19070297,32.89696621,
17508888,-0.5171898091,0.9421943802,-12.8661424,33.59871218,
17751111,-0.5083921615,0.9431491809,-14.58664569,34.17979218,
17993333,-0.5021703328,0.9438250144,-16.28899751,34.60303538,
18235555,-0.4960732565,0.9444877667,-17.95667414,35.02809473,
18477777,-0.4901823628,0.945128549,-19.67316411,35.44882654,
18720000,-0.4885257906,0.945308821,-21.3551213,35.56896847,
18962222,-0.4867629549,0.9455006947,-23.05121917,35.69771545,
19204444,-0.4864845936,0.9455309961,-24.7626378,35.71813062,
19446666,-0.4899331875,0.9451556626,-26.48295293,35.46684591,
19688888,-0.4904584419,0.9450985088,-28.1832175,35.42888298,
19931111,-0.4956762595,0.9445309364,-29.88951379,35.05613419,
20173333,-0.5006961995,0.9439852101,-31.63444036,34.70485586,
20415555,-0.506509649,0.9433536139,-33.36805452,34.30675369,
20657777,-0.5128245523,0.9426680167,-35.12279405,33.88454237,
20900000,-0.5158278576,0.9423421283,-36.88870202,33.68737126,
21142222,-0.5270614104,0.9411241751,-38.65292881,32.96980004,
21384444,-0.5353266028,0.9402290598,-40.4383794,32.46107645,
21626666,-0.5429915293,0.9393997138,-42.24725192,32.00314447,
21868888,-0.553733381,0.938238675,-44.07521888,31.38272493,
22111111,-0.563583016,0.937175333,-45.87687102,30.83462955,
22353333,-0.574834977,0.9359620741,-47.7211759,30.23149246,
22595555,-0.5863489293,0.9347221915,-49.57723697,29.63828347,
22837777,-0.5982721719,0.9334399655,-51.44390731,29.04806136,
23080000,-0.6100750235,0.9321724188,-53.30261253,28.48652987,
23322222,-0.622228725,0.9308689918,-55.21273495,27.93057764,
