Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_VSWR,
45000000,-1.961017441,0.7979012179,-19.88931528,8.896150681,
45234444,-1.973878403,0.7967206613,-26.29699739,8.83867821,
45468888,-1.993716073,0.7949031104,-32.60245684,8.751488695,
45703333,-2.010802764,0.7933409315,-38.87849954,8.677775162,
45937777,-2.024181624,0.7921198906,-45.0928834,8.620930092,
46172222,-2.053179036,0.7894798469,-51.19696075,8.500278098,
46406666,-2.074501837,0.7875441469,-57.29079748,8.413720409,
46641111,-2.09667406,0.7855363691,-63.37236743,8.325590504,
46875555,-2.12125553,0.7833164076,-69.37696031,8.23004819,
47110000,-2.144009167,0.78126711,-75.42457362,8.143572329,
47344444,-2.176875551,0.7783164731,-81.23847828,8.021870178,
47578888,-2.205495009,0.7757561899,-87.15782522,7.918863798,
47813333,-2.231714244,0.7734180222,-93.06812781,7.826827355,
48047777,-2.263596726,0.770584313,-98.88285528,7.717799668,
48282222,-2.288163806,0.7684078796,-104.7814165,7.635872399,
48516666,-2.323073198,0.7653257753,-110.4466474,7.522452786,
48751111,-2.348281528,0.7631078544,-116.3785799,7.442660666,
48985555,-2.382898076,0.7600726338,-121.9688489,7.335856105,
49220000,-2.414292649,0.7573303605,-127.5084013,7.241657277,
49454444,-2.451912131,0.7540573778,-133.0246132,7.131978027,
49688888,-2.484083387,0.7512696262,-138.6133781,7.04083542,
49923333,-2.513170901,0.7487579644,-144.1888958,6.960451344,
50157777,-2.540609376,0.7463963917,-149.7980571,6.886323121,
50392222,-2.57191479,0.743711095,-155.2148966,6.803693258,
50626666,-2.599238262,0.7413752559,-160.6202926,6.733212097,
50861111,-2.625694283,0.7391205646,-166.0591086,6.666376604,
51095555,-2.650488928,0.7370136878,-171.4621857,6.604958535,
51330000,-2.669657116,0.7353890251,-176.9721788,6.55826549,
51564444,-2.687540899,0.733876456,177.7997848,6.515306501,
51798888,-2.701085516,0.7327329544,172.5003412,6.483152273,
52033333,-2.713904986,0.7316523144,167.3518584,6.453017511,
52267777,-2.72241438,0.7309358801,162.1329004,6.433172438,
52502222,-2.722151342,0.7309580156,156.8895592,6.433784005,
52736666,-2.717767724,0.7313270105,151.6409575,6.443993548,
52971111,-2.706099689,0.7323100858,146.4206929,6.47133117,
53205555,-2.6906112,0.7336170902,141.1482019,6.507989163,
53440000,-2.66449026,0.735826606,135.8905963,6.57078512,
53674444,-2.636140642,0.7382321723,130.588835,6.640358319,
53908888,-2.600023823,0.7413082081,125.1967814,6.731207803,
54143333,-2.558843634,0.7448311278,119.9374518,6.837946623,
54377777,-2.509924729,0.7490378496,114.6044376,6.969329225,
54612222,-2.453697274,0.7539024181,109.1529186,7.126857586,
54846666,-2.395422006,0.7589774971,103.8687243,7.297980378,
55081111,-2.335858676,0.7642000578,98.38007097,7.481766287,
55315555,-2.26180048,0.7707436866,92.77897347,7.723860079,
55550000,-2.196088651,0.7765967477,87.22878284,7.952421147,
55784444,-2.112349042,0.7841200301,81.43191627,8.264407444,
56018888,-2.032092793,0.7913987507,75.68612073,8.587670286,
56253333,-1.95586874,0.7983743269,69.88712054,8.919371721,
56487777,-1.878429959,0.8055240327,64.00680012,9.28404706,
56722222,-1.796557167,0.8131527623,57.98528808,9.70393132,
56956666,-1.715998471,0.8207295617,51.87558436,10.15632906,
57191111,-1.637298771,0.8281996859,45.67243891,10.64142226,
57425555,-1.555345542,0.836050908,39.29311981,11.19890867,
57660000,-1.483832854,0.8429626984,32.93528877,11.7358276,
57894444,-1.414350822,0.8497329495,26.42225209,12.30963769,
58128888,-1.350873454,0.8559656314,19.83355363,12.8855748,
58363333,-1.285037867,0.8624781602,13.03030276,13.54314459,
58597777,-1.228575907,0.8681028952,6.167682022,14.16333511,
58832222,-1.176362525,0.8733370277,-0.7796540055,14.78993422,
59066666,-1.136309694,0.8773735048,-7.86795891,15.309689,
59301111,-1.110725211,0.879961638,-15.09472219,15.66134032,
59535555,-1.098182357,0.8812332641,-22.50445339,15.83973197,
59770000,-1.087504808,0.8823172286,-30.05881179,15.99484111,
60004444,-1.11085497,0.8799484923,-37.82043517,15.65951589,
60238888,-1.145478627,0.876447827,-45.82756097,15.18749353,
60473333,-1.217483398,0.8692122335,-53.98084212,14.29195011,
60707777,-1.322847827,0.8587319245,-62.42385852,13.15748033,
60942222,-1.477379966,0.8435891818,-71.11608484,11.78683932,
61176666,-1.691053139,0.8230900336,-80.07735342,10.30518558,
61411111,-1.973971329,0.7967121377,-89.30778911,8.838265684,
61645555,-2.353270474,0.7626696712,-98.76121608,7.427072975,
61880000,-2.847876207,0.7204538884,-108.3866185,6.154454729,
62114444,-3.486949397,0.6693488632,-118.0572944,5.048671174,
62348888,-4.299520528,0.6095705453,-127.7177834,4.122564336,
62583333,-5.322692749,0.5418328885,-136.696338,3.365219479,
62817777,-6.572256867,0.4692314974,-144.698187,2.768121111,
63052222,-8.057539904,0.3954786152,-150.9877371,2.3084024,
63286666,-9.726138856,0.3263570939,-154.3961954,1.968932029,
63521111,-11.39009376,0.2694606245,-153.5131971,1.737703219,
63755555,-12.61920129,0.2339052317,-147.9513292,1.610643073,
63990000,-12.92019755,0.2259384382,-140.1267359,1.583773822,
64224444,-12.33659787,0.2416407119,-134.3806916,1.637272374,
64458888,-11.32183969,0.2715863981,-132.9441152,1.745692824,
64693333,-10.25072478,0.307230099,-135.3707431,1.886961453,
64927777,-9.288816316,0.343209408,-140.3289066,2.04511061,
65162222,-8.471507172,0.3770723099,-147.057718,2.210645524,
65396666,-7.777892871,0.4084184534,-155.0357524,2.380768064,
65631111,-7.187134392,0.437162882,-163.99109,2.553425913,
65865555,-6.692194328,0.4627967321,-173.7380773,2.722985543,
66100000,-6.263024989,0.4862378367,175.8166171,2.892851874,
66334444,-5.890835258,0.5075259317,164.6342442,3.061127537,
66568888,-5.559319268,0.5272711832,152.7245367,3.230755412,
66803333,-5.251832378,0.5462712962,139.9860349,3.407920379,
67037777,-4.955850954,0.5652068964,126.3127608,3.599888967,
67272222,-4.652632547,0.585286319,111.6637812,3.822604345,
67506666,-4.339483768,0.6067723911,95.9979807,4.086112863,
67741111,-4.012756231,0.6300313909,79.33466463,4.405864041,
67975555,-3.665587149,0.6557233403,61.72534836,4.809281413,
68210000,-3.298508939,0.6840290609,43.35590289,5.329696033,
68444444,-2.925706217,0.7140270901,24.54573206,5.993669438,
68678888,-2.568555375,0.7439987935,5.522577668,6.812463181,
68913333,-2.24437044,0.7722918967,-13.31683988,7.783174471,
69147777,-1.972236112,0.7968713161,-31.62358264,8.845975279,
69382222,-1.754564972,0.817093492,-49.1340131,9.934548046,
69616666,-1.588190716,0.8328954013,-65.6543427,10.96855153,
69851111,-1.465802096,0.844714395,-81.13958878,11.87949389,
70085555,-1.388704785,0.8522455863,-95.57218059,12.53597467,
70320000,-1.34000144,0.8570377031,-109.0124088,12.98970248,
70554444,-1.313843765,0.8596225741,-121.5223047,13.24730498,
70788888,-1.297873255,0.8612045928,-133.2182888,13.40969871,
71023333,-1.295848749,0.8614053457,-144.2025875,13.430571,
71257777,-1.302387072,0.8607571648,-154.5825114,13.36339613,
71492222,-1.314049196,0.8596022433,-164.4012368,13.24524185,
71726666,-1.325636555,0.8584562606,-173.7611684,13.12990789,
71961111,-1.338244598,0.8572110684,177.2958344,13.0066879,
72195555,-1.353041442,0.85575201,168.6805894,12.86501122,
72430000,-1.363852646,0.8546875302,160.3791377,12.76344372,
72664444,-1.376390124,0.8534547381,152.326049,12.64766062,
72898888,-1.391219021,0.8519989292,144.4720946,12.51341575,
73133333,-1.398898202,0.8512460112,136.8304862,12.44501762,
73367777,-1.411284472,0.8500329807,129.3456991,12.3362656,
73602222,-1.420033126,0.8491772364,122.0003024,12.26059776,
73836666,-1.428966369,0.8483043257,114.8012853,12.18429157,
74071111,-1.437133621,0.8475070488,107.7065052,12.11536031,
74305555,-1.443498526,0.8468862344,100.6789718,12.06218283,
74540000,-1.450499744,0.846203881,93.76279009,12.00422932,
74774444,-1.457944499,0.8454789026,86.8737667,11.94321639,
75008888,-1.466261068,0.8446697606,80.07395743,11.87579294,
75243333,-1.476095353,0.8437139549,73.33926877,11.79704787,
75477777,-1.490190792,0.8423458885,66.61980994,11.68599963,
75712222,-1.504230121,0.840985473,59.91194373,11.57746721,
75946666,-1.526052999,0.8388751898,53.27559928,11.41273766,
76181111,-1.558414862,0.8357555262,46.68769544,11.17696981,
76415555,-1.606740136,0.8311185838,40.1334908,10.84262925,
76650000,-1.691439617,0.823053411,33.72010078,10.30284574,
76884444,-1.858078275,0.8074136481,27.79870724,9.384951897,
77118888,-1.981437114,0.7960276336,24.95026357,8.805249778,
77353333,-1.067059829,0.8843964865,18.75851206,16.30051223,
77587777,-1.069931852,0.8841041057,9.308438623,16.25686671,
77822222,-1.165863559,0.8743933017,1.864460906,14.92271772,
78056666,-1.228445783,0.8681159004,-5.039140115,14.16483038,
78291111,-1.273122213,0.8636621546,-11.81767794,13.66944115,
78525555,-1.30710831,0.8602894252,-18.51449082,13.31530865,
78760000,-1.335649721,0.8574671953,-25.20359783,13.03185747,
78994444,-1.360822782,0.8549857194,-31.90848863,12.79174514,
79228888,-1.385703962,0.8525400731,-38.5748193,12.56300686,
79463333,-1.411772914,0.8499851814,-45.32529757,12.33201625,
79697777,-1.436471458,0.8475716604,-52.09655144,12.12091967,
