Frequency (MHz)		Gain (dB)
0.0182926654816		71.3503970839
0.0549137592316		71.3532632434
0.0915348529816		71.3536149905
0.128155946732		71.3559578449
0.164777040482		71.3599933772
0.201398134232		71.360775735
0.238019227982		71.3613149999
0.274640321732		71.3623369821
0.311261415482		71.3650723807
0.347882509232		71.3659207768
0.384503602982		71.3649837271
0.421124696732		71.3642302884
0.457745790482		71.3665233037
0.494366884232		71.3643988721
0.530987977982		71.3653356675
0.567609071732		71.3661098362
0.604230165482		71.3630705745
0.640851259232		71.3667488493
0.677472352982		71.3673398528
0.714093446732		71.3680486466
0.750714540482		71.371045672
0.787335634232		71.370466953
0.823956727982		71.3705414347
0.860577821732		71.3714765263
0.897198915482		71.3707359929
0.933820009232		71.3716816799
0.970441102982		71.372349502
1.00706219673		71.3730031692
1.04368329048		71.3736848381
1.08030438423		71.3734558549
1.11692547798		71.3737152164
1.15354657173		71.3740265817
1.19016766548		71.371984074
1.22678875923		71.3734805385
1.26340985298		71.375592183
1.30003094673		71.375413405
1.33665204048		71.3751047963
1.37327313423		71.3748086936
1.40989422798		71.3797490681
1.44651532173		71.3750641783
1.48313641548		71.3737972367
1.51975750923		71.3768722613
1.55637860298		71.3751526264
1.59299969673		71.3764081674
1.62962079048		71.3717751356
1.66624188423		71.3717390453
1.70286297798		71.3694734893
1.73948407173		71.3749275167
1.77610516548		71.3698729544
1.81272625923		71.3711152043
1.84934735298		71.3759197337
1.88596844673		71.375969832
1.92258954048		71.37807837
1.95921063423		71.3796535086
1.99583172798		71.3789989454
2.03245282173		71.3799090877
2.06907391548		71.3798719273
2.10569500923		71.3799944037
2.14231610298		71.3822711545
2.17893719673		71.3824655669
2.21555829048		71.3802958404
2.25217938423		71.3804251294
2.28880047798		71.37787845
2.32542157173		71.3789261258
2.36204266548		71.377903488
2.39866375923		71.3755724456
2.43528485298		71.3766347182
2.47190594673		71.3746830337
2.50852704048		71.3797232825
2.54514813423		71.3802135635
2.58176922798		71.3846504972
2.61839032173		71.3836807314
2.65501141548		71.381770493
2.69163250923		71.3783795604
2.72825360298		71.3818057421
2.76487469673		71.3793326864
2.80149579048		71.3803265516
2.83811688423		71.3806628444
2.87473797798		71.3799523147
2.91135907173		71.3797634777
2.94798016548		71.3805870197
2.98460125923		71.3817155342
3.02122235298		71.3825531065
3.05784344673		71.37987534
3.09446454048		71.3826599706
3.13108563423		71.3795397446
3.16770672798		71.3795173706
3.20432782173		71.3814919016
3.24094891548		71.3817667028
3.27757000923		71.3847387503
3.31419110298		71.3818895048
3.35081219673		71.3793698514
3.38743329048		71.3837580176
3.42405438423		71.3834310575
3.46067547798		71.3829760002
3.49729657173		71.3834878889
3.53391766548		71.3828846798
3.57053875923		71.384413758
3.60715985298		71.3812913806
3.64378094673		71.3826736126
3.68040204048		71.382698244
3.71702313423		71.3832476762
3.75364422798		71.3811461961
3.79026532173		71.3831108931
3.82688641548		71.379932218
3.86350750923		71.3846194378
3.90012860298		71.3856704117
3.93674969673		71.3806226575
3.97337079048		71.3857181255
4.00999188423		71.3825853176
4.04661297798		71.3811666662
4.08323407173		71.382556896
4.11985516548		71.3853576078
4.15647625923		71.3858040849
4.19309735298		71.3872344716
4.22971844673		71.3852761842
4.26633954048		71.3868831656
4.30296063423		71.3890454422
4.33958172798		71.3886659011
4.37620282173		71.384222842
4.41282391548		71.3848751035
4.44944500923		71.3886348703
4.48606610298		71.3883355257
4.52268719673		71.3909093665
4.55930829048		71.392814078
4.59592938423		71.3891816602
4.63255047798		71.3912327385
4.66917157173		71.3906052613
4.70579266548		71.3958877613
4.74241375923		71.3914101101
4.77903485298		71.3903049177
4.81565594673		71.3918121004
4.85227704048		71.3936574505
4.88889813423		71.3916623511
4.92551922798		71.3922541334
4.96214032173		71.3895233216
4.99876141548		71.3927857234
5.03538250923		71.3942232613
5.07200360298		71.3951154824
5.10862469673		71.3904074302
5.14524579048		71.391793193
5.18186688423		71.3948248977
5.21848797798		71.39139347
5.25510907173		71.3932200967
5.29173016548		71.3943362634
5.32835125923		71.3887290972
5.36497235298		71.3904664401
5.40159344673		71.3891510115
5.43821454048		71.3912160977
5.47483563423		71.3915038986
5.51145672798		71.3896447696
5.54807782173		71.3911990787
5.58469891548		71.3883555836
5.62132000923		71.3887711012
5.65794110298		71.3865924082
5.69456219673		71.3912758529
5.73118329048		71.3902126165
5.76780438423		71.3915386906
5.80442547798		71.3899792067
5.84104657173		71.3918181508
5.87766766548		71.3894075457
5.91428875923		71.3919557944
5.95090985298		71.3893893845
5.98753094673		71.3849607008
6.02415204048		71.3876251147
6.06077313423		71.3893776553
6.09739422798		71.3872863323
6.13401532173		71.3902546062
6.17063641548		71.3925320353
6.20725750923		71.3906116916
6.24387860298		71.3914891497
6.28049969673		71.3910822127
6.31712079048		71.3902500668
6.35374188423		71.387667508
6.39036297798		71.3890878216
6.42698407173		71.3896107191
6.46360516548		71.3933811327
6.50022625923		71.3938479522
6.53684735298		71.3906245522
6.57346844673		71.392906702
6.61008954048		71.3910080826
6.64671063423		71.386335329
6.68333172798		71.3885493454
6.71995282173		71.3900616771
6.75657391548		71.3912501356
6.79319500923		71.3893042528
6.82981610298		71.3916502499
6.86643719673		71.3924242795
6.90305829048		71.3890409015
6.93967938423		71.3917618064
6.97630047798		71.3854526632
7.01292157173		71.3905776487
7.04954266548		71.3882719455
7.08616375923		71.386425441
7.12278485298		71.3894275986
7.15940594673		71.3912936281
7.19602704048		71.3899856379
7.23264813423		71.3886280587
7.26926922798		71.3928386519
7.30589032173		71.3875838566
7.34251141548		71.3936574505
7.37913250923		71.3964823679
7.41575360298		71.389989421
7.45237469673		71.3936362832
7.48899579048		71.3931520515
7.52561688423		71.3894317605
7.56223797798		71.3889807371
7.59885907173		71.3945097292
7.63548016548		71.3913802335
7.67210125923		71.3905262056
7.70872235298		71.3926707905
7.74534344673		71.3916419303
7.78196454048		71.3939072932
7.81858563423		71.3913915791
7.85520672798		71.3955073064
7.89182782173		71.3961514533
7.92844891548		71.3919720543
7.96507000923		71.3941835776
8.00169110298		71.3996557515
8.03831219673		71.3976094036
8.07493329048		71.3983759531
8.11155438423		71.4008080024
