,Frequency (MHz),QVal (linear),Composite AF (m^-1),Effective AF (dBm^-1)
0,10.0,0.0004402005258976188,0.19672851605514421,2.65909353538607
1,10.108888,0.0004406328567497368,0.19646153777835376,2.6451663915204637
2,10.217777,0.00047362918431346037,0.1960164122449385,2.4686564423042707
3,10.326666,0.0005157512009930489,0.195504120345347,2.2609170561716674
4,10.435555,0.0005628161439263959,0.19494327645526935,2.0463324898514728
5,10.544444,0.0006063810934993201,0.19432165759707393,1.856695869066609
6,10.653333,0.0006452267158320902,0.19363848984251317,1.6912720336917033
7,10.762222,0.000701362571448821,0.19289857781467246,1.476867585416814
8,10.871111,0.0007580520497744474,0.19207277015063823,1.2708208677554929
9,10.98,0.00081858748711177,0.1911888646190782,1.0639263739433087
10,11.088888,0.0008873820448078534,0.1902564955795787,0.8462366753495694
11,11.197777,0.0009540111952055248,0.18923581309390852,0.642299255788215
12,11.306666,0.0010240199620979093,0.18813084997503143,0.4376582388488135
13,11.415555,0.001110107594844319,0.18699765000024252,0.20989760629673526
14,11.524444,0.0011822646649843726,0.18575959411574272,0.015451520396410956
15,11.633333,0.001261778681822948,0.18444445855968544,-0.18760369116792752
16,11.742222,0.0013576191555690988,0.1830553341140904,-0.41224201629340484
17,11.851111,0.0014653901407882255,0.1815609110219089,-0.6493192614063155
18,11.96,0.0015399052265706481,0.1799864661756599,-0.8326729614797479
19,12.068888,0.0016554418351506087,0.1783490492169527,-1.0691536619909616
20,12.177777,0.0017731548984025291,0.17658345343664106,-1.3047332597436956
21,12.286666,0.0018743744691621929,0.17469000153308878,-1.5189208277581994
22,12.395555,0.002000746746530701,0.17271064212093218,-1.7595786199150094
23,12.504444,0.002134273443586356,0.17064153625913206,-2.0045552559030995
24,12.613333,0.0022508388914125282,0.16841314123191614,-2.2342025254636617
25,12.722222,0.002391567001166807,0.16611043724904245,-2.4854743336301865
26,12.831111,0.0025353321199307974,0.16366732780409785,-2.740934457558195
27,12.94,0.0026766876920821508,0.16107619564650064,-2.9973612350311214
28,13.048888,0.0028251025042496415,0.15831145665953333,-3.2649241514120906
29,13.157777,0.0030000636094913978,0.15544569400360012,-3.554078391841049
30,13.266666,0.003158018107099153,0.15237715427156498,-3.838675906532467
31,13.375555,0.00329811411313226,0.14912517775362322,-4.120308902778094
32,13.484444,0.003452121947791567,0.14575716515417603,-4.4178323833533195
33,13.593333,0.0036188198887310468,0.142151422100403,-4.737810666808825
34,13.702222,0.0038015490226658015,0.1383691995247992,-5.079014405931268
35,13.811111,0.003966580380815263,0.13435547428071204,-5.426973970357238
36,13.92,0.004141863264740915,0.13004436358828467,-5.80414811415352
37,14.028888,0.004272338890521304,0.1255541421879691,-6.17670756844333
38,14.137777,0.004455677210195194,0.12078178450323383,-6.60453976806304
39,14.246666,0.004629337368413388,0.11568874727563468,-7.0617717906229505
40,14.355555,0.004770614324491393,0.1102768985823714,-7.543180668464464
41,14.464444,0.00491617805300428,0.10441758199584168,-8.082665378224128
42,14.573333,0.0050886578690909155,0.09826407487002134,-8.685120867651634
43,14.682222,0.005262397084179371,0.09166984231026065,-9.361388391894998
44,14.791111,0.005388907433967854,0.0848552776785509,-10.083926439125765
45,14.9,0.005556396074648543,0.07791413841674855,-10.891640528084874
46,15.008888,0.0056377803501671195,0.0713609247046176,-11.686331376989118
47,15.117777,0.005800757138326023,0.06658319887812277,-12.350130290253066
48,15.226666,0.005939537658082814,0.06529732890311811,-12.57085487916732
49,15.335555,0.006074216088985364,0.06854991150768996,-12.197313219221556
50,15.444444,0.006232668812382982,0.07506447691526014,-11.464680999665532
51,15.553333,0.006376070208352682,0.08289315420033726,-10.652392143397622
52,15.662222,0.006548258800535802,0.0913290557295847,-9.868449828238283
