Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
200000000,-1.155183144,-177.4282811,15.06027637,-6.663696717,-86.17580491,2.73355569,-6.744901253,-94.52082091,2.703682678,-1.114505786,-176.683629,15.60835939,
200200066,-1.155624969,-177.519118,15.05453537,-6.681896,-86.30230091,2.72679442,-6.739843673,-94.48010124,2.705521174,-1.115257116,-176.7485807,15.59787312,
200400133,-1.154107022,-177.586902,15.0742777,-6.676673187,-86.32414039,2.728730808,-6.740742986,-94.61473926,2.705194051,-1.114768444,-176.7499864,15.60469188,
200600200,-1.155393603,-177.6223197,15.05754116,-6.690329509,-86.35178536,2.723674341,-6.762967614,-94.66395883,2.697138889,-1.112746354,-176.8602241,15.6329712,
200800266,-1.152900311,-177.6422829,15.09000925,-6.670425822,-86.3948414,2.731051232,-6.758043978,-94.68322226,2.69891863,-1.107164539,-176.8558236,15.71157082,
201000333,-1.148810805,-177.6910471,15.14356914,-6.66844971,-86.43093984,2.731786157,-6.766785752,-94.7521812,2.695760623,-1.108251606,-176.8974002,15.69620126,
201200400,-1.149817489,-177.7298491,15.13034928,-6.679272264,-86.36649518,2.727766788,-6.763262263,-94.8620211,2.697032468,-1.109563674,-176.9594448,15.67769068,
201400466,-1.148240121,-177.7601726,15.15107371,-6.687796722,-86.4459695,2.724610509,-6.762365007,-94.95542509,2.697356566,-1.10621885,-177.0163964,15.72496611,
201600533,-1.143190842,-177.7840968,15.21779933,-6.682852798,-86.50489292,2.726440025,-6.780421332,-94.95656211,2.690851774,-1.106859772,-177.0729952,15.71588521,
201800600,-1.145090687,-177.8313233,15.19262395,-6.690581135,-86.53917482,2.723581376,-6.777234806,-94.98321652,2.691997075,-1.104618286,-177.1269408,15.74768976,
202000666,-1.143281631,-177.9138207,15.21659435,-6.696274791,-86.48663618,2.721479766,-6.776902283,-95.09691293,2.692116656,-1.105943373,-177.1534808,15.72887244,
202200733,-1.141451141,-177.9388063,15.2409262,-6.694810474,-86.6099835,2.722019909,-6.777225426,-95.17856057,2.692000448,-1.105122864,-177.2098696,15.74051901,
202400800,-1.137410606,-177.9684175,15.2949128,-6.70206981,-86.55277644,2.719344588,-6.788207567,-95.24057591,2.688057997,-1.104037473,-177.2051088,15.75595203,
202600866,-1.140780482,-177.999431,15.24986054,-6.697775217,-86.63725595,2.720926562,-6.789182855,-95.26077952,2.687708528,-1.102857837,-177.2651369,15.7727596,
202800933,-1.142742727,-178.0368928,15.22374964,-6.7009526,-86.57139234,2.719755924,-6.786255049,-95.25452927,2.688757947,-1.099147809,-177.3171013,15.82585592,
203001000,-1.144811908,-178.081026,15.1963129,-6.70115465,-86.67090147,2.719681522,-6.792551431,-95.35220498,2.686502299,-1.098158876,-177.3724855,15.84006974,
203201067,-1.141044823,-178.1239708,15.24633781,-6.709706195,-86.75186747,2.716536867,-6.780959743,-95.38471382,2.69065837,-1.098701131,-177.3703815,15.8322728,
203401133,-1.137506426,-178.1114964,15.29362807,-6.701957533,-86.70690308,2.71938592,-6.789524652,-95.54079579,2.687586079,-1.100031286,-177.4305243,15.81317945,
203601200,-1.137857298,-178.1733502,15.28892554,-6.712891238,-86.76889954,2.715367782,-6.795523432,-95.61253665,2.68543912,-1.09406327,-177.4968501,15.89920938,
203801267,-1.13679072,-178.2496711,15.30322924,-6.722397161,-86.76415503,2.711885498,-6.803134519,-95.631607,2.682720841,-1.096525562,-177.5192814,15.86360141,
204001333,-1.133752369,-178.2802558,15.34412379,-6.717049517,-86.8789906,2.713843216,-6.818148434,-95.72431712,2.677377355,-1.09608327,-177.5470171,15.86998573,
204201400,-1.133176901,-178.3325965,15.351894,-6.713153298,-86.86729935,2.715271643,-6.801035697,-95.68787861,2.683469791,-1.094102172,-177.6023904,15.89864556,
204401467,-1.131867619,-178.3573659,15.36960199,-6.704416352,-86.99438959,2.718481105,-6.803313153,-95.8056319,2.682657119,-1.092104856,-177.6366365,15.9276454,
204601533,-1.13588577,-178.4056,15.31538647,-6.716312375,-86.96484295,2.714113333,-6.81136835,-95.80600221,2.679787337,-1.096317535,-177.685251,15.86660355,
204801600,-1.131249998,-178.4768362,15.37796953,-6.725328814,-87.03633187,2.710813636,-6.807086969,-95.93245922,2.681311753,-1.090491174,-177.726633,15.9511528,
205001667,-1.127997713,-178.4856605,15.42218295,-6.715679748,-87.07276591,2.714345201,-6.820215502,-95.98693906,2.676643617,-1.091931622,-177.7802776,15.93016567,
205201733,-1.122836553,-178.5177168,15.49287316,-6.732112004,-87.06958381,2.708337343,-6.823105922,-96.04095375,2.675618401,-1.089739504,-177.8449457,15.96212659,
205401800,-1.123843952,-178.5644025,15.47902418,-6.728248989,-87.14936601,2.709746945,-6.81823956,-96.13328552,2.677344999,-1.095577724,-177.8729474,15.87728941,
205601867,-1.129726447,-178.6285675,15.39864981,-6.725026319,-87.25182796,2.710924188,-6.838425155,-96.18050418,2.670199956,-1.089475928,-177.9199309,15.96597819,
