Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
200000000,-1.291599901,173.2135336,13.47458901,-6.444192076,-98.40495702,2.818259275,-6.484759645,-90.71822312,2.802152587,-1.129915456,-175.4293248,15.39608122,
200200066,-1.292069652,173.1052714,13.46970814,-6.460764307,-98.5686971,2.811653987,-6.479822549,-90.64562822,2.804101508,-1.128049508,-175.4828819,15.42147681,
200400133,-1.289378489,173.0384764,13.49771852,-6.457329799,-98.58532621,2.813019987,-6.478157236,-90.75151578,2.804759593,-1.127946955,-175.4753494,15.422875,
200600200,-1.294893823,173.0024313,13.44043882,-6.468186361,-98.62603922,2.808707212,-6.499518769,-90.80065799,2.796344882,-1.125580281,-175.5843465,15.45521267,
200800266,-1.290541817,172.9781821,13.48559591,-6.451427705,-98.72932513,2.815370966,-6.492486536,-90.75207551,2.799108615,-1.123222489,-175.5775664,15.48756467,
201000333,-1.282216573,172.9207794,13.57283561,-6.445582882,-98.764526,2.817703568,-6.505839957,-90.80714286,2.79386593,-1.122958171,-175.6232036,15.49119994,
201200400,-1.286510245,172.8847617,13.52770124,-6.459052686,-98.74961477,2.812334557,-6.502065241,-90.9467104,2.795345637,-1.125071701,-175.6954459,15.46217956,
201400466,-1.286983653,172.8342828,13.52274332,-6.465299053,-98.88572989,2.809852718,-6.497443722,-91.003193,2.797159744,-1.120754538,-175.7390981,15.5215742,
201600533,-1.281086428,172.8224887,13.58476589,-6.460365697,-98.9432539,2.811812448,-6.515181931,-91.00181187,2.790211545,-1.120176353,-175.7802029,15.52956356,
201800600,-1.279220576,172.7513615,13.60450883,-6.469066927,-99.02519195,2.80835807,-6.515348775,-90.99630422,2.790146379,-1.120056054,-175.8301949,15.5312269,
202000666,-1.280958707,172.671442,13.5861155,-6.475249819,-99.02597718,2.80590937,-6.514336349,-91.09416203,2.790541868,-1.120600671,-175.8886556,15.52369953,
