Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
200000000,-27.80423914,140.7703327,1.084892986,-0.4259021919,-26.81248153,40.79636139,-0.4090835297,-38.83669736,42.47296464,-28.80524857,154.985314,1.075304225,
200200066,-27.79331868,144.3436854,1.085004326,-0.4360859974,-27.07175021,39.84404055,-0.4090032536,-39.01062621,42.48129784,-28.82461735,159.4731113,1.075130189,
200400133,-27.75689254,147.0507073,1.085376808,-0.4337909607,-27.27245503,40.05475317,-0.413792618,-39.23419753,41.98978881,-28.72091424,163.6929478,1.076066885,
200600200,-27.87669907,151.5001022,1.084158057,-0.4367208556,-27.46754363,39.78614388,-0.4163605226,-39.4140786,41.73091491,-28.46671838,167.906128,1.078414475,
200800266,-27.60509112,155.5892787,1.086947473,-0.4306156611,-27.63332991,40.34998902,-0.4127436489,-39.58961309,42.09646363,-28.47814607,171.1565056,1.078307339,
201000333,-27.40685893,160.4528617,1.089043996,-0.4276148546,-27.85225954,40.63303133,-0.4129334937,-39.81277217,42.0771172,-28.30124265,175.0814639,1.079982993,
201200400,-27.35792502,163.4914326,1.08956959,-0.4279632902,-28.01120848,40.59996243,-0.412941768,-40.05039407,42.07627441,-27.99204659,179.2391787,1.083001761,
201400466,-27.23920673,165.7541604,1.090858225,-0.4337437385,-28.22857463,40.05911217,-0.4136618383,-40.22270535,42.00305891,-27.70897509,-177.2125162,1.085869386,
201600533,-27.04616455,170.2061218,1.092995082,-0.4304073599,-28.41570168,40.36950892,-0.4126737823,-40.40951083,42.10358797,-27.45118547,-174.3093597,1.088570664,
201800600,-26.79183538,172.438081,1.095890786,-0.4315421482,-28.62950478,40.26339628,-0.4138643195,-40.60430893,41.98251688,-27.16644211,-171.508332,1.091657601,
202000666,-26.5688187,174.9299672,1.09850757,-0.4339374815,-28.78599017,40.04123414,-0.414346523,-40.80446122,41.93367743,-26.96165765,-169.2839898,1.093946974,
