Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
200000000,-2.259881877,170.0547205,7.730344016,-7.582614285,-85.2767047,2.434682966,-6.832183386,-79.06271729,2.6724046,-2.149867869,-179.2673018,8.121603986,
200200066,-2.258966276,169.965479,7.733442203,-7.598693394,-85.42815639,2.430132221,-6.821394258,-79.04572383,2.676225408,-2.148525173,-179.2904362,8.126628049,
200400133,-2.256350711,169.8905795,7.742306611,-7.594735181,-85.41332428,2.431250583,-6.821587576,-79.17445727,2.676156836,-2.146483609,-179.3022545,8.134279222,
200600200,-2.260313383,169.8713328,7.728884773,-7.606774348,-85.49923877,2.427852851,-6.836834884,-79.17953816,2.670761251,-2.143651437,-179.3891351,8.144917616,
200800266,-2.255285681,169.8580371,7.745922029,-7.589050838,-85.57738334,2.432858819,-6.831525587,-79.1699975,2.672637186,-2.140851312,-179.3814657,8.155463445,
201000333,-2.246982718,169.7843435,7.774225942,-7.58224519,-85.62468257,2.434787669,-6.842058565,-79.23505581,2.668918553,-2.140381233,-179.4274475,8.157236574,
201200400,-2.252989601,169.7722235,7.753728136,-7.597513214,-85.59881367,2.430465542,-6.833436243,-79.31874731,2.671961741,-2.140793368,-179.4667052,8.155681966,
201400466,-2.253333528,169.7419305,7.752557849,-7.599086951,-85.72315189,2.430021092,-6.832336632,-79.38467402,2.672350422,-2.13643231,-179.5083563,8.172162807,
201600533,-2.246154562,169.7260391,7.777060581,-7.600539885,-85.80389771,2.429610932,-6.84383473,-79.39543599,2.668292669,-2.137522302,-179.5616996,8.168037291,
201800600,-2.244266256,169.6660745,7.783531794,-7.606698051,-85.88482587,2.427874348,-6.838887916,-79.38379937,2.670036674,-2.136460312,-179.5858428,8.172056766,
202000666,-2.244727282,169.5730211,7.781950851,-7.612817057,-85.83225197,2.426151765,-6.838473703,-79.47015963,2.670182825,-2.137053846,-179.6570608,8.169809832,
202200733,-2.243871698,169.550386,7.784885325,-7.612884368,-85.95881559,2.426132832,-6.83843166,-79.54722407,2.670197661,-2.136109106,-179.6763805,8.173386917,
202400800,-2.24022861,169.5228263,7.797405594,-7.621712323,-85.99454309,2.423652871,-6.842904374,-79.55864925,2.668620465,-2.13463362,-179.6959063,8.178979934,
202600866,-2.243087415,169.4615701,7.787577233,-7.616922691,-86.09406688,2.424997623,-6.842636101,-79.58288357,2.668715004,-2.134197036,-179.7310439,8.180636352,
202800933,-2.241884859,169.4328928,7.79170846,-7.618873524,-86.07959332,2.424449684,-6.838370788,-79.57345084,2.670219141,-2.129167013,-179.7785545,8.199769715,
203001000,-2.241862048,169.4034255,7.791786867,-7.615543666,-86.14389941,2.425385136,-6.838185198,-79.66216294,2.670284633,-2.126743909,-179.8219547,8.209019261,
203201067,-2.241786614,169.3523844,7.792046163,-7.627025384,-86.27332293,2.422163262,-6.827007939,-79.66291456,2.674235824,-2.126591991,-179.826932,8.209599872,
