Frequency,S11_Magnitude,S11_Phase
1000000,1.023463169,161.9229255
1222000,0.9974825574,157.1521129
1444000,0.9986679272,153.1859843
1666000,1.000090034,149.2177109
1888000,1.001897655,145.2423289
2110000,1.003119602,141.2798304
2332000,1.00388878,137.3309434
2554000,1.004792195,133.4443871
2776000,1.005407501,129.5846519
2998000,1.005753133,125.799888
3220000,1.006021822,122.0490482
3442000,1.006270509,118.3421857
3664000,1.005902902,114.7313993
3886000,1.004976611,111.1106891
4108000,1.003794429,107.5551003
4330000,1.002937988,104.0861713
4552000,1.001524767,100.6972395
4774000,1.000940788,97.32074143
4996000,0.9999079259,94.03052756
5218000,0.9982166905,90.72666345
5440000,0.9957862148,87.48398557
5662000,0.9928228852,84.29419504
5884000,0.9880271873,81.15284131
6106000,0.9804875726,78.01447701
6328000,0.9687380212,75.01685804
6550000,0.9504155129,72.40265501
6772000,0.9341416212,70.64469974
6994000,0.9331587694,69.41741481
7216000,0.9442741827,67.69607207
7438000,0.9559192007,65.44844655
7660000,0.9646082494,62.9538635
7882000,0.9702260157,60.42362058
8104000,0.9743734765,57.87660362
8326000,0.9770772556,55.37018654
8548000,0.9787275764,52.91584443
8770000,0.9795715453,50.50077258
8992000,0.9798962185,48.12106492
9214000,0.9797957599,45.74205351
9436000,0.9788795831,43.41354671
9658000,0.9777262594,41.07386751
9880000,0.9757737626,38.78887731
10102000,0.9734313539,36.47206804
10324000,0.9701043915,34.19865549
10546000,0.965945968,31.95253438
10768000,0.9608972796,29.69482961
10990000,0.9547352863,27.48218122
11212000,0.9468373171,25.27777287
11434000,0.9376119469,23.11316474
11656000,0.9262132821,21.04647776
11878000,0.9130794357,19.06849845
12100000,0.8977809829,17.26447655
12322000,0.8827219027,15.78267267
12544000,0.8675960478,14.59414549
12766000,0.8552815679,13.7181379
12988000,0.847180687,13.09929985
13210000,0.8442657457,12.56104997
13432000,0.8461295098,12.03528207
13654000,0.8520626014,11.35483307
13876000,0.8602595046,10.49481385
14098000,0.8692965154,9.42108677
14320000,0.8783905648,8.164691248
14542000,0.8868348873,6.787483507
14764000,0.894636022,5.317620801
14986000,0.9015408781,3.780147242
15208000,0.9075144732,2.172683776
15430000,0.9127265198,0.6093373613
15652000,0.9172317,-1.028394016
15874000,0.9210518955,-2.618669968
16096000,0.9245287841,-4.230552866
16318000,0.9275363738,-5.830142826
16540000,0.9301142237,-7.4748711
16762000,0.9329375366,-9.067535162
16984000,0.9352578143,-10.66600036
17206000,0.9374384658,-12.28156378
17428000,0.9395160882,-13.8915925
17650000,0.941292633,-15.53284165
17872000,0.9429215852,-17.13075375
18094000,0.9445190665,-18.72981082
18316000,0.9458592498,-20.32993276
18538000,0.9466677219,-21.94502563
18760000,0.9476382733,-23.57436528
18982000,0.9484904573,-25.1764663
19204000,0.9491396519,-26.78875019
19426000,0.9496650308,-28.39183345
19648000,0.9502476745,-30.03530056
19870000,0.9506394308,-31.6538072
20092000,0.9510607647,-33.25945217
20314000,0.9515628316,-34.89798378
20536000,0.9518802208,-36.53981199
20758000,0.9519433356,-38.16662154
20980000,0.9521644817,-39.83830956
21202000,0.9520748628,-41.51040724
21424000,0.9522331807,-43.16792736
21646000,0.9519848557,-44.85282001
21868000,0.951971252,-46.5545376
22090000,0.9516530022,-48.25880002
22312000,0.9511666099,-49.98239223
22534000,0.9509024884,-51.70461661
22756000,0.950400666,-53.48342838
22978000,0.9498653018,-55.24895657
23200000,0.9494313467,-57.04962367
23422000,0.9486411465,-58.84418337
23644000,0.9480090316,-60.65645849
23866000,0.9468064752,-62.48919734
24088000,0.9461252339,-64.32228334
24310000,0.9451973843,-66.17342782
24532000,0.9441088766,-68.05714689
24754000,0.943324561,-69.93629558
24976000,0.9421928863,-71.85387807
25198000,0.9417899957,-73.82794449
25420000,0.9422949045,-75.9678991
25642000,0.9390500291,-77.78080964
25864000,0.9372463248,-79.66815837
26086000,0.9356213332,-81.60708776
26308000,0.9356724272,-83.54644671
26530000,0.934035084,-85.55776285
26752000,0.9323580031,-87.56511258
26974000,0.9312138841,-89.6025806
27196000,0.9291407563,-91.66526252
27418000,0.927879239,-93.7320349
27640000,0.9265008456,-95.7077998
27862000,0.9249127605,-97.75746179
28084000,0.9230615227,-99.84345242
28306000,0.9205577019,-101.8491998
28528000,0.9180729704,-103.8885973
28750000,0.9165641909,-105.9467051
28972000,0.91526199,-108.0732016
29194000,0.9132659239,-110.063654
29416000,0.9124920445,-112.1445049
29638000,0.9108906798,-114.1994713
29860000,0.9097836493,-116.2770833
30082000,0.9090434743,-118.3834984
30304000,0.9091538236,-120.4963845
30526000,0.9093511484,-122.6140593
30748000,0.9098388585,-124.7984062
30970000,0.9112470782,-126.9737101
31192000,0.9126241978,-129.1827162
31414000,0.9140677079,-131.4661475
31636000,0.9158572311,-133.76342
31858000,0.9176451503,-136.0906809
32080000,0.9195404091,-138.4419903
32302000,0.9205489715,-140.8194432
32524000,0.9221647468,-143.2610894
32746000,0.9234828851,-145.6797004
