Frequency,S11_Magnitude,S11_Phase
1000000,0.992009959,160.8826097
1222000,0.9973580569,157.1676793
1444000,0.9986339133,153.2003714
1666000,1.000303552,149.2329996
1888000,1.00189219,145.2639584
2110000,1.002905339,141.3056591
2332000,1.003982897,137.3474282
2554000,1.004874357,133.4422269
2776000,1.00568232,129.6022771
2998000,1.005937175,125.8122274
3220000,1.005953604,122.0591341
3442000,1.006253623,118.3790883
3664000,1.006147381,114.7470453
3886000,1.005196037,111.1185278
4108000,1.004028115,107.5756591
4330000,1.00302306,104.0938611
4552000,1.002097423,100.7107103
4774000,1.000926765,97.35696278
4996000,1.000087243,94.03819026
5218000,0.9986325578,90.75316478
5440000,0.9960438563,87.51080796
5662000,0.9932014965,84.29841789
5884000,0.9882266062,81.14167794
6106000,0.9807040101,78.03478613
6328000,0.9688308517,75.02210446
6550000,0.9505773852,72.42115814
6772000,0.9342108736,70.66986742
6994000,0.93327913,69.4160996
7216000,0.9443407381,67.6875931
7438000,0.9560796091,65.4564696
7660000,0.9646872421,62.9727252
7882000,0.9704797254,60.42483192
8104000,0.9745187058,57.86307024
8326000,0.977208997,55.36672932
8548000,0.9786779002,52.89564194
8770000,0.9796758119,50.49506871
8992000,0.9799054135,48.10925585
9214000,0.9798291363,45.73534007
9436000,0.9789896081,43.41313248
9658000,0.9778193878,41.07649731
9880000,0.9758431292,38.77779819
10102000,0.9735290389,36.47397722
10324000,0.9701476204,34.2092395
10546000,0.9661578173,31.95088885
10768000,0.9610630896,29.7022546
10990000,0.9547325178,27.49750656
11212000,0.946916074,25.27476085
11434000,0.9375662878,23.11770753
11656000,0.9263047792,21.04177022
11878000,0.9132598951,19.06923202
12100000,0.8972938108,17.29258594
12322000,0.8828614352,15.78484292
12544000,0.8677261793,14.58449367
12766000,0.8554382944,13.71920655
12988000,0.8472692019,13.08738265
13210000,0.8442794723,12.56456959
13432000,0.8463549401,12.03624241
13654000,0.8521935175,11.35654311
13876000,0.8603280553,10.47570733
14098000,0.8693963508,9.426398088
14320000,0.8783714851,8.179357916
14542000,0.8870925004,6.781542015
14764000,0.8948821538,5.306569495
14986000,0.9014487602,3.781207254
15208000,0.907610717,2.188647511
15430000,0.9128566405,0.59422945
15652000,0.9172378267,-1.016260898
15874000,0.9211925694,-2.621211444
16096000,0.9247673199,-4.239458083
16318000,0.9276409925,-5.844757202
16540000,0.9302541404,-7.458428589
16762000,0.9331335967,-9.068990642
16984000,0.9353994799,-10.70000939
17206000,0.937565402,-12.3020223
17428000,0.9396688264,-13.88818861
17650000,0.9415761016,-15.54690359
17872000,0.9430882024,-17.13022032
18094000,0.9445859097,-18.73078682
18316000,0.9458531568,-20.34736919
18538000,0.9468169623,-21.96600541
18760000,0.9477484211,-23.59868297
18982000,0.9486034383,-25.18084766
19204000,0.9492935527,-26.80370548
19426000,0.9498822022,-28.40680674
19648000,0.9502872877,-30.03867046
19870000,0.950833399,-31.68008138
20092000,0.9511009688,-33.27392735
20314000,0.9517872026,-34.90735284
20536000,0.9518940355,-36.55977489
20758000,0.9519315962,-38.20241903
20980000,0.9520375521,-39.84570995
21202000,0.9520277233,-41.51206553
21424000,0.9521820803,-43.1786037
21646000,0.9519997259,-44.8678492
21868000,0.9519560616,-46.56464638
22090000,0.9516788218,-48.27199594
22312000,0.9511122907,-50.00780937
22534000,0.9509602672,-51.72913535
22756000,0.9504537906,-53.48787262
22978000,0.9499413843,-55.26359472
23200000,0.9494889592,-57.06089474
23422000,0.948709587,-58.85536636
23644000,0.9480719851,-60.65552792
23866000,0.9469101494,-62.48639809
24088000,0.9461629449,-64.32662906
24310000,0.9453205604,-66.17857754
24532000,0.9442697626,-68.03868904
24754000,0.9436093406,-69.94285702
24976000,0.9423865395,-71.83272628
25198000,0.9418520884,-73.84586962
25420000,0.9423581454,-75.97636043
25642000,0.9392344411,-77.79323049
25864000,0.9372627981,-79.6669341
26086000,0.9358107079,-81.60859379
26308000,0.9358124008,-83.55628961
26530000,0.9341701087,-85.54641496
26752000,0.9324198499,-87.56028898
26974000,0.9313235777,-89.60935585
27196000,0.9292312689,-91.65446998
27418000,0.9282797152,-93.7277824
27640000,0.926683232,-95.71866011
27862000,0.9250226082,-97.76558077
28084000,0.9232841484,-99.83542487
28306000,0.9208137737,-101.8670066
28528000,0.9181994491,-103.8947528
28750000,0.9168424933,-105.9499532
28972000,0.9153254044,-108.0773932
29194000,0.913341598,-110.0869995
29416000,0.9125510171,-112.1632242
29638000,0.9110432272,-114.2167243
29860000,0.9099651478,-116.2904046
30082000,0.9091859881,-118.3896604
30304000,0.9092865599,-120.5119572
30526000,0.9094174104,-122.6208783
30748000,0.9100684724,-124.7785107
30970000,0.9113752745,-126.9798491
31192000,0.9126541093,-129.1858352
31414000,0.9142254406,-131.470443
31636000,0.915996495,-133.7669459
31858000,0.9178704532,-136.0874558
32080000,0.9197259945,-138.4571724
32302000,0.9207746644,-140.8361195
32524000,0.9222474073,-143.2686006
32746000,0.9236032116,-145.6978089
32968000,0.9244514695,-148.1777132
33190000,0.9251387178,-150.680635
33412000,0.925990002,-153.1871942
33634000,0.9266776708,-155.7374826
33856000,0.9272621756,-158.3563919
34078000,0.9280087585,-161.0328391
34300000,0.9282093514,-163.5429486
34522000,0.9282456408,-166.1120826
34744000,0.9281962319,-168.7324198
34966000,0.9281043322,-171.3206533
35188000,0.9281951308,-173.9138747
35410000,0.9276182133,-176.5405197
35632000,0.9270890189,-179.1406295
35854000,0.9266231689,178.2642405
36076000,0.925916568,175.6830357
36298000,0.9255517841,173.0775497
36520000,0.9248213977,170.4941104
36742000,0.9242545106,167.8956696
36964000,0.9237752932,165.269195
37186000,0.9231572468,162.6068101
37408000,0.9228096122,159.9085112
