Frequency,S11_Magnitude,S11_Phase
1000000,1.03002562,162.4801225
1222000,0.9968974361,157.1688873
1444000,0.9980122214,153.1934716
1666000,0.9998722005,149.2153929
1888000,1.001508018,145.2333219
2110000,1.003098348,141.2503021
2332000,1.003827,137.3048782
2554000,1.004893409,133.4092971
2776000,1.005437985,129.5722708
2998000,1.005333005,125.7638745
3220000,1.005154879,122.0001791
3442000,1.004948132,118.3081498
3664000,1.004613094,114.6633502
3886000,1.003937192,111.0395645
4108000,1.00276518,107.5113346
4330000,1.001877081,104.0240907
4552000,1.000676791,100.6437455
4774000,0.9995166376,97.28883119
4996000,0.9983634065,93.977441
5218000,0.9967435504,90.68111512
5440000,0.9941511898,87.4436306
5662000,0.9910969937,84.26525887
5884000,0.9862621498,81.10345391
6106000,0.9785475291,77.97994428
6328000,0.966010836,74.96648704
6550000,0.9481516695,72.39105023
6772000,0.932346384,70.67509877
6994000,0.9317221511,69.45612234
7216000,0.9431565875,67.70852602
7438000,0.95495345,65.45846441
7660000,0.9634196446,62.95110166
7882000,0.9693044583,60.42092855
8104000,0.9733110902,57.85961121
8326000,0.9759777094,55.35687042
8548000,0.9776312908,52.90397699
8770000,0.9785588644,50.4849588
8992000,0.9788084341,48.09637659
9214000,0.9787928563,45.71892624
9436000,0.9779820932,43.38029652
9658000,0.9767600715,41.05076443
9880000,0.9752361502,38.74822215
10102000,0.9726506722,36.43071595
10324000,0.9693712088,34.16269799
10546000,0.9652145278,31.88840448
10768000,0.9600438573,29.6426364
10990000,0.9537455264,27.4213233
11212000,0.9457731063,25.21456846
11434000,0.9364101857,23.06260441
11656000,0.9249786848,20.96716246
11878000,0.9114614656,19.00581968
12100000,0.8965464725,17.21750272
12322000,0.8809268151,15.75153768
12544000,0.8657593037,14.56870891
12766000,0.8536577173,13.71015798
12988000,0.8458056985,13.09809238
13210000,0.8430596777,12.57461484
13432000,0.8451702926,12.03198311
13654000,0.8511943625,11.36314934
13876000,0.8596144304,10.46236804
14098000,0.8687029837,9.388536535
14320000,0.8777100889,8.133853868
14542000,0.8861983863,6.72914193
14764000,0.8937272403,5.241224868
14986000,0.9006489197,3.719827459
15208000,0.9064014117,2.117268632
15430000,0.9115540776,0.5363861191
15652000,0.9158451306,-1.07369062
15874000,0.9198201524,-2.688427803
16096000,0.9233270642,-4.292840769
16318000,0.926028157,-5.900025385
16540000,0.9285697217,-7.52446833
16762000,0.9314683588,-9.129574246
16984000,0.9335322842,-10.75296488
17206000,0.9358239425,-12.33230253
17428000,0.9379161272,-13.94244859
17650000,0.9396079124,-15.5626183
17872000,0.9413909296,-17.16352512
18094000,0.9427505994,-18.76522586
18316000,0.9442068686,-20.35705308
18538000,0.9452266255,-21.99257255
18760000,0.9459774396,-23.60258179
18982000,0.9469565524,-25.19907836
19204000,0.9476324776,-26.8219343
19426000,0.9481655891,-28.4335614
19648000,0.9488851189,-30.06413324
19870000,0.9493034016,-31.70526096
20092000,0.9496479196,-33.28879143
20314000,0.950355569,-34.92514159
20536000,0.9504719682,-36.57301611
20758000,0.9505604574,-38.20212179
20980000,0.9508986263,-39.87246439
21202000,0.9510008329,-41.55015447
21424000,0.9511641194,-43.22007885
21646000,0.9509607172,-44.8969336
21868000,0.9507073201,-46.59312989
22090000,0.9506299339,-48.30818507
22312000,0.9503524162,-50.02461603
22534000,0.950101122,-51.76553061
22756000,0.949491457,-53.53104932
22978000,0.949044577,-55.29341616
23200000,0.9485681681,-57.07278738
23422000,0.947939194,-58.87959267
23644000,0.947312823,-60.70439632
23866000,0.9462034565,-62.53529882
24088000,0.9453697294,-64.38237184
24310000,0.9446814623,-66.24861991
24532000,0.9434334052,-68.12554475
24754000,0.9427452025,-70.01272828
24976000,0.9415828513,-71.91142358
25198000,0.9414593776,-74.01689631
25420000,0.9392767002,-75.86162343
25642000,0.9373101824,-77.72864935
25864000,0.9374833693,-79.7147391
26086000,0.9357180874,-81.69443348
26308000,0.9343672155,-83.66814415
26530000,0.9328587951,-85.65990702
26752000,0.9313860857,-87.69761224
26974000,0.9303552742,-89.69751204
27196000,0.9282227128,-91.77660441
27418000,0.926458495,-93.80984305
27640000,0.925447871,-95.96437371
27862000,0.9237476348,-98.00653265
28084000,0.9214497362,-99.99580577
28306000,0.9191578329,-101.96333
28528000,0.9172607757,-103.9494404
28750000,0.9144686579,-105.9992334
28972000,0.9140000136,-108.1531157
29194000,0.9119227851,-110.1641229
29416000,0.9103767242,-112.2422257
29638000,0.9091647845,-114.3350418
29860000,0.9080735961,-116.3828499
30082000,0.9075416838,-118.460892
30304000,0.9075729706,-120.5696733
30526000,0.9075815824,-122.6974039
30748000,0.9083571679,-124.8309386
30970000,0.9092669143,-127.0212659
31192000,0.9110793806,-129.3041789
31414000,0.9126675618,-131.5369469
31636000,0.9146329554,-133.8183407
31858000,0.9161553396,-136.1390459
32080000,0.9178911066,-138.5004227
32302000,0.9194593664,-140.893748
32524000,0.9208977096,-143.3400129
32746000,0.922200914,-145.7726021
32968000,0.9231558258,-148.2517023
33190000,0.9240012537,-150.7437572
33412000,0.9248191447,-153.2613335
33634000,0.9257549774,-155.8472916
33856000,0.92635124,-158.4862509
34078000,0.9270241298,-161.0358486
34300000,0.9270979269,-163.5791445
34522000,0.9272686059,-166.179895
34744000,0.9274864291,-168.8144632
34966000,0.9274859303,-171.4149883
35188000,0.9274136017,-174.0019466
35410000,0.9270071882,-176.6151747
35632000,0.9265129021,-179.2257935
35854000,0.9260808347,178.1757806
36076000,0.9255072722,175.5565106
36298000,0.9249750261,172.9142466
36520000,0.9247384327,170.2318967
36742000,0.9232144178,167.8337072
36964000,0.9230185294,165.1178065
37186000,0.9217786998,162.6184645
37408000,0.921031336,159.9456203
37630000,0.9205687027,157.2782318
37852000,0.9187396711,154.8979104
38074000,0.9177624663,152.3377033
38296000,0.9179823552,149.4149138
38518000,0.9157932101,147.1391301
38740000,0.9138954,144.6354045
38962000,0.9120672206,142.1804481
39184000,0.9104581622,139.704175
39406000,0.9085401947,137.1990282
39628000,0.9063407697,134.7262011
39850000,0.9042022407,132.1938263
40072000,0.9018880736,129.7230676
40294000,0.8989918405,127.3229444
40516000,0.8957489257,124.9284697
40738000,0.8924358915,122.5489642
40960000,0.8890424791,120.1697554
41182000,0.8849669526,117.8468087
41404000,0.8803970455,115.6211988
41626000,0.8756813948,113.3628494
41848000,0.8704235389,111.1415852
42070000,0.8645090634,108.9220164
42292000,0.8584226591,106.6184343
42514000,0.8513480066,104.6830311
42736000,0.8441221798,102.5508879
42958000,0.8369250272,100.3447172
43180000,0.828907889,98.37841635
43402000,0.8207366042,96.72784155
43624000,0.8125083091,95.14193108
43846000,0.8051468592,93.59993494
44068000,0.7978253356,92.10318392
44290000,0.7917705815,90.67808731
44512000,0.7865044509,89.14882294
44734000,0.7823090703,87.88533461
44956000,0.779430655,86.76592961
45178000,0.7773580992,85.50137466
45400000,0.7763046929,84.2513734
45622000,0.7764780085,83.02787479
45844000,0.7772346889,81.8277008
46066000,0.7787198098,80.39792645
46288000,0.7803358473,79.15608596
46510000,0.7823241218,77.75244151
46732000,0.7846553016,76.3256186
46954000,0.7867356799,75.03708479
47176000,0.7886286829,73.69728564
47398000,0.7906490988,72.28583685
47620000,0.7928408371,70.83115652
47842000,0.7946181437,69.39689347
48064000,0.7968492709,67.88898624
48286000,0.7990847326,66.28005241
48508000,0.8004148068,64.88824997
48730000,0.8018612222,63.43373513
48952000,0.8034085931,61.90977795
49174000,0.8050798522,60.31638475
49396000,0.8055921891,59.02705111
49618000,0.8066242424,57.56986127
49840000,0.8087269855,56.04282417
50062000,0.8086001303,54.61775772
50284000,0.8094117315,53.186565
50506000,0.8099065874,51.75862457
50728000,0.8108365766,50.31647248
50950000,0.8114803748,48.85091364
51172000,0.8125713578,47.36321426
51394000,0.8128040534,46.07786735
51616000,0.8135865335,44.63789521
51838000,0.8148723866,43.11109192
52060000,0.8161136192,41.62825703
52282000,0.8166262863,40.3731135
52504000,0.8178496194,38.98420736
52726000,0.8192987531,37.52628807
52948000,0.8209766303,36.09236251
53170000,0.8225421051,34.70260644
53392000,0.8247344548,33.24647479
53614000,0.8269703793,31.77093807
53836000,0.829269839,30.21087627
54058000,0.8319838487,28.58686129
54280000,0.8347611791,27.08162029
54502000,0.8376306846,25.60908184
54724000,0.841011026,23.99707082
54946000,0.8446893103,22.39720182
55168000,0.8482296167,20.71113956
55390000,0.8518595143,19.0199362
55612000,0.8567414213,16.95699702
55834000,0.8608120986,15.17833656
56056000,0.8651464041,13.22094483
56278000,0.8707355358,11.0889133
56500000,0.8758870766,8.958152435
56722000,0.881313969,6.733709899
56944000,0.8867198174,4.323678343
57166000,0.8929028969,1.660916916
57388000,0.8992037672,-1.29300066
57610000,0.9050079677,-4.159218236
57832000,0.9113660856,-7.453133141
58054000,0.9172586864,-11.02817781
58276000,0.9230518836,-14.96953672
58498000,0.9280016824,-19.26374671
58720000,0.9328613548,-24.07615319
58942000,0.9351977891,-29.43735829
59164000,0.9360639993,-35.47208967
59386000,0.9332386766,-42.3012201
59608000,0.926528925,-50.15495104
59830000,0.9128075991,-59.12710004
