Frequency,S11_Magnitude,S11_Phase
1000000,0.9932778944,161.0373842
1222000,0.9973436145,157.160747
1444000,0.9986287968,153.1931511
1666000,1.000318164,149.2176313
1888000,1.001782191,145.2638725
2110000,1.003094061,141.2973367
2332000,1.003934337,137.3396644
2554000,1.004914715,133.4439246
2776000,1.005585341,129.6038234
2998000,1.005724861,125.8145269
3220000,1.005829106,122.0630091
3442000,1.006258401,118.3412106
3664000,1.005728555,114.7229736
3886000,1.004800408,111.1189801
4108000,1.003589526,107.5674939
4330000,1.002830413,104.080529
4552000,1.001590178,100.6879765
4774000,1.000857716,97.32072682
4996000,0.9995432121,94.03182113
5218000,0.9981401712,90.72182198
5440000,0.9956661074,87.48093306
5662000,0.9926575949,84.30219736
5884000,0.9878346463,81.12800101
6106000,0.9801472611,78.00933573
6328000,0.9681922207,75.0121937
6550000,0.9500134722,72.4182284
6772000,0.9340404346,70.67865863
6994000,0.9329034549,69.42921418
7216000,0.9440722126,67.71326429
7438000,0.9556882661,65.46822182
7660000,0.9644100272,62.96690507
7882000,0.970109089,60.43820328
8104000,0.974140828,57.88464351
8326000,0.9768548121,55.38914566
8548000,0.9784553493,52.91678386
8770000,0.9793932603,50.50471962
8992000,0.9797271877,48.11420064
9214000,0.9794297397,45.7381245
9436000,0.9787628235,43.4038723
9658000,0.9776190712,41.08834007
9880000,0.9758943655,38.77757208
10102000,0.973389714,36.47121523
10324000,0.9700773321,34.21162415
10546000,0.9658960987,31.95866406
10768000,0.9608302048,29.71510228
10990000,0.9545625535,27.48589114
11212000,0.9468123501,25.27063869
11434000,0.9373283949,23.10205885
11656000,0.9263380402,21.03075832
11878000,0.9130116302,19.04469033
12100000,0.8980425597,17.30539097
12322000,0.8826996136,15.77630546
12544000,0.8675530936,14.58483234
12766000,0.855285632,13.70694215
12988000,0.8471511783,13.07886421
13210000,0.8442192657,12.55540507
13432000,0.8461145507,12.01857845
13654000,0.851866522,11.35286149
13876000,0.8600682264,10.4750134
14098000,0.8691277606,9.407039805
14320000,0.878178759,8.142452911
14542000,0.8867708139,6.779261044
14764000,0.8942821112,5.306002741
14986000,0.9011658257,3.769223073
15208000,0.9071573992,2.175368728
15430000,0.9125685902,0.5780033689
15652000,0.916864636,-1.019046159
15874000,0.9207149522,-2.648690675
16096000,0.9244023111,-4.242597441
16318000,0.9272697804,-5.844884788
16540000,0.9299977685,-7.483178537
16762000,0.9327193636,-9.072694786
16984000,0.935016486,-10.66984207
17206000,0.9370713806,-12.28057906
17428000,0.9393367719,-13.90200516
17650000,0.941001484,-15.54624118
17872000,0.9426078883,-17.13103203
18094000,0.9442432953,-18.73183385
18316000,0.945350877,-20.35092171
18538000,0.9464768497,-21.95638491
18760000,0.9473183708,-23.5737837
18982000,0.9481820954,-25.17535501
19204000,0.9489327189,-26.77893756
19426000,0.9494748068,-28.39920604
19648000,0.9500737307,-30.03417201
19870000,0.950451672,-31.66323097
20092000,0.9509089135,-33.24133026
20314000,0.9513195192,-34.87732211
20536000,0.9516135303,-36.50775543
20758000,0.9515576096,-38.16682861
20980000,0.9519139172,-39.8205295
21202000,0.951825393,-41.50035302
21424000,0.9519300664,-43.16790064
21646000,0.9516617395,-44.86060804
21868000,0.9516766797,-46.5549581
22090000,0.9514726862,-48.25998335
22312000,0.9509717482,-49.98058268
22534000,0.9507023653,-51.70846431
22756000,0.9501393103,-53.47741745
22978000,0.9496916247,-55.24211043
23200000,0.949306639,-57.05299696
23422000,0.9485194381,-58.82402714
23644000,0.9479252689,-60.65137424
23866000,0.9467746756,-62.488757
24088000,0.945894721,-64.33018315
24310000,0.9451586981,-66.18658592
24532000,0.9440670013,-68.05477669
24754000,0.9434342708,-69.93931636
24976000,0.9421490357,-71.83859417
25198000,0.9415166331,-73.84638173
25420000,0.9420531519,-75.97737803
25642000,0.9387937297,-77.78322452
25864000,0.9370995384,-79.65637847
26086000,0.935631822,-81.62724893
26308000,0.9355393243,-83.54578011
26530000,0.9338104584,-85.5380328
26752000,0.9322673396,-87.56234776
26974000,0.931064892,-89.59564855
27196000,0.9289205447,-91.67244716
27418000,0.9277014988,-93.73775745
27640000,0.9263645523,-95.70504224
27862000,0.9246142816,-97.77714467
28084000,0.9228547976,-99.86811473
28306000,0.9204661577,-101.8693284
28528000,0.9178877943,-103.9050475
28750000,0.9163174251,-105.9691323
28972000,0.9149140471,-108.0754618
29194000,0.9129979266,-110.0821177
29416000,0.9122561867,-112.1672604
29638000,0.9107198124,-114.2048743
29860000,0.9096042552,-116.2767278
30082000,0.9089050629,-118.3746548
30304000,0.9088508782,-120.4949645
30526000,0.9090900151,-122.6239273
30748000,0.9096820793,-124.7778608
30970000,0.9110141517,-126.9640179
31192000,0.9124070935,-129.1689034
