Frequency,S11_Magnitude,S11_Phase
1000000,1.016933397,161.5852257
1222000,0.9973217954,157.1512784
1444000,0.9985161595,153.1997294
1666000,1.000004628,149.2189218
1888000,1.001747451,145.2593477
2110000,1.002855916,141.2987643
2332000,1.003915871,137.3398566
2554000,1.004635888,133.437732
2776000,1.005577415,129.5954752
2998000,1.005689491,125.8268498
3220000,1.005692541,122.0544227
3442000,1.006406318,118.3581404
3664000,1.00615922,114.7438038
3886000,1.005152736,111.1126473
4108000,1.003903154,107.589316
4330000,1.003129724,104.1152468
4552000,1.001887027,100.7193896
4774000,1.001050508,97.34802685
4996000,0.9999899667,94.04467604
5218000,0.9985029612,90.74313931
5440000,0.9961147745,87.49472767
5662000,0.9930415796,84.2933378
5884000,0.9881439339,81.13600952
6106000,0.9806856215,78.01130385
6328000,0.9687090711,75.01133481
6550000,0.9506811839,72.42587477
6772000,0.9341283873,70.66344696
6994000,0.9332697885,69.42621687
7216000,0.944339094,67.71355537
7438000,0.9560707541,65.47120839
7660000,0.9645491284,62.94623641
7882000,0.9704393531,60.44310741
8104000,0.9744599813,57.89545188
8326000,0.9771992305,55.3870441
8548000,0.9787734453,52.91342924
8770000,0.9795623009,50.50097591
8992000,0.9797464168,48.1166957
9214000,0.9796853497,45.74750163
9436000,0.9789253555,43.40870801
9658000,0.9775507985,41.08243127
9880000,0.9757427718,38.76941889
10102000,0.973544483,36.4766215
10324000,0.9700839538,34.21372602
10546000,0.9659938536,31.95195935
10768000,0.9609039859,29.70422032
10990000,0.9547782608,27.48018434
11212000,0.9467530798,25.27846849
11434000,0.9375295191,23.12206604
11656000,0.9263356779,21.04527751
11878000,0.9130748871,19.0621145
12100000,0.8976692928,17.27579198
12322000,0.8829100767,15.78812918
12544000,0.8677300068,14.59030544
12766000,0.8554398763,13.71850992
12988000,0.8473176163,13.07575988
13210000,0.8445148864,12.55720392
13432000,0.846420432,12.03402541
13654000,0.8519855212,11.36947464
13876000,0.8602491801,10.48474499
14098000,0.8695797453,9.409019342
14320000,0.8787501731,8.147750947
14542000,0.8872267,6.7794639
14764000,0.8947991202,5.305147302
14986000,0.9016873599,3.760267193
15208000,0.9077376923,2.175684104
15430000,0.9129088958,0.5953563798
15652000,0.9173714916,-1.012186926
15874000,0.9212449978,-2.605239086
16096000,0.9247519074,-4.223606687
16318000,0.9277187317,-5.830962462
16540000,0.9304114172,-7.460932677
16762000,0.9331538855,-9.074547557
16984000,0.9354668806,-10.65045652
17206000,0.9376310356,-12.27269417
17428000,0.9398291951,-13.88780984
17650000,0.9416167058,-15.53155201
17872000,0.9431774051,-17.12206608
18094000,0.9447145396,-18.72436798
18316000,0.9460298424,-20.34162309
18538000,0.9470587552,-21.95366736
18760000,0.9478872142,-23.58002876
18982000,0.9487195053,-25.1914329
19204000,0.9493183047,-26.79899767
19426000,0.9499330226,-28.40391899
19648000,0.9505055305,-30.03561048
19870000,0.9509032041,-31.66812592
20092000,0.9511379296,-33.26643001
20314000,0.9517161952,-34.88556265
20536000,0.9521371906,-36.52557108
20758000,0.952114726,-38.1717084
20980000,0.952231234,-39.83203487
21202000,0.9521652205,-41.52481723
21424000,0.9523181512,-43.17570088
21646000,0.9519117899,-44.86060718
21868000,0.9518227403,-46.56676706
22090000,0.9516354464,-48.25308263
22312000,0.9512116617,-49.97214502
22534000,0.9509376546,-51.71124959
22756000,0.9504335634,-53.47590325
22978000,0.9500031442,-55.23495582
23200000,0.9494846882,-57.03252486
23422000,0.9487512733,-58.82277805
23644000,0.9480667551,-60.63660919
23866000,0.9470113316,-62.46927509
24088000,0.9461571662,-64.32408072
24310000,0.945424173,-66.17049826
24532000,0.9442953539,-68.04381241
24754000,0.9436642333,-69.92517687
24976000,0.9424005457,-71.83090754
25198000,0.9419016214,-73.83717078
25420000,0.942466673,-75.97076618
25642000,0.9392487998,-77.78173948
25864000,0.9375365264,-79.65664446
26086000,0.9361411818,-81.60255322
26308000,0.9357737209,-83.53320514
26530000,0.9342372475,-85.52829449
26752000,0.9326027298,-87.5424887
26974000,0.9314860677,-89.58253256
27196000,0.9292625926,-91.64856449
27418000,0.9281157137,-93.70377374
27640000,0.9267513949,-95.68271422
27862000,0.9250747438,-97.759877
28084000,0.9233508183,-99.82429131
28306000,0.9207664177,-101.8455975
28528000,0.9183098184,-103.8751681
28750000,0.9169224182,-105.9274425
28972000,0.9154015176,-108.0518647
29194000,0.9133846834,-110.055495
29416000,0.9126040472,-112.1358068
29638000,0.9110774843,-114.1825358
29860000,0.9101249599,-116.2674394
30082000,0.9093542136,-118.3641531
30304000,0.9093604068,-120.4833105
30526000,0.9095496958,-122.6044803
30748000,0.9101543312,-124.7689654
30970000,0.9116784109,-126.9538409
31192000,0.9128136039,-129.1764735
31414000,0.9142216174,-131.4509275
31636000,0.9160490469,-133.7639946
31858000,0.9178242525,-136.1004556
32080000,0.9195319471,-138.4505797
32302000,0.9207829413,-140.8150673
32524000,0.9222727311,-143.2608508
32746000,0.9235942885,-145.6902537
32968000,0.9244517466,-148.1613296
33190000,0.9251494648,-150.676066
33412000,0.9259799724,-153.1928612
33634000,0.9268311525,-155.7400235
33856000,0.9272646854,-158.3491027
34078000,0.9279098342,-161.0337437
34300000,0.9281457235,-163.5364326
34522000,0.9281664127,-166.1124422
34744000,0.928004524,-168.7065933
34966000,0.9280439561,-171.3113771
35188000,0.928036958,-173.9248968
35410000,0.9275131367,-176.5304338
35632000,0.9269131224,-179.1376647
35854000,0.9265245698,178.2704643
36076000,0.9258609083,175.6780418
36298000,0.9254064184,173.0797926
36520000,0.924664647,170.5106748
36742000,0.9241477041,167.9036286
36964000,0.9235597185,165.2714625
37186000,0.9231664543,162.6164341
37408000,0.9228405594,159.9283457
37630000,0.9219762532,157.311665
37852000,0.9199954845,154.9082744
38074000,0.918230152,152.518247
38296000,0.9170517247,150.0287484
38518000,0.9155377188,147.5083416
38740000,0.9145250969,144.9946535
38962000,0.912821392,142.4441601
39184000,0.911399731,139.9086244
39406000,0.909751232,137.3718103
39628000,0.9076097454,134.8916642
39850000,0.905521301,132.3903534
40072000,0.9031325295,129.9371969
40294000,0.9002838512,127.4811871
40516000,0.8974545132,124.9129123
40738000,0.8943971065,122.3716307
40960000,0.890467624,120.1616796
41182000,0.8863039506,117.9271497
41404000,0.881592851,115.6522787
41626000,0.8769457046,113.4003421
41848000,0.871529041,111.1456622
42070000,0.8656125639,108.940785
42292000,0.8588652102,106.9206545
42514000,0.8520123626,104.8257051
42736000,0.8446117497,102.7153939
42958000,0.837035202,100.6224696
43180000,0.8290157057,98.585014
43402000,0.8209058997,96.64517053
43624000,0.8124304881,95.14099083
43846000,0.8043912423,93.59355448
44068000,0.796638376,92.23908078
44290000,0.7903619224,90.83999615
44512000,0.7852266762,89.50651774
44734000,0.7811565061,88.18726028
44956000,0.7780145099,86.91956296
45178000,0.7761540976,85.69138158
45400000,0.7754015128,84.41476904
45622000,0.7753117379,83.13679036
45844000,0.7762001255,81.90563643
46066000,0.7771942047,80.75879083
46288000,0.7789995702,79.45983399
46510000,0.780783304,78.11640498
46732000,0.7832871641,76.64024432
46954000,0.7857931587,75.2075912
47176000,0.7876561643,73.89716922
47398000,0.7897007444,72.52983033
47620000,0.7916796934,71.11936785
47842000,0.7936494318,69.66529729
48064000,0.7959679773,68.11795398
48286000,0.7982737519,66.5282062
48508000,0.7990746165,65.27018108
48730000,0.8009653352,63.76001622
48952000,0.8027577777,62.20216142
49174000,0.8035236825,60.83535137
49396000,0.8045960029,59.38309391
49618000,0.8056832126,57.90712931
49840000,0.8070439633,56.4282977
50062000,0.8076643999,54.99979427
50284000,0.8087143938,53.55468267
50506000,0.8092112121,52.12454217
50728000,0.8104015153,50.64517454
50950000,0.8109155423,49.24032833
51172000,0.8114943173,47.81684686
51394000,0.8127553426,46.32580558
51616000,0.8129488828,45.05957931
51838000,0.8135214573,43.68437264
52060000,0.814172103,42.38186437
52282000,0.8155103424,40.97650374
52504000,0.8170753377,39.52733946
52726000,0.8185387968,37.9921913
52948000,0.8202257254,36.53010153
53170000,0.8213390811,35.31309476
53392000,0.822990032,33.90311542
53614000,0.8251088557,32.36637063
53836000,0.8277087077,30.89494418
54058000,0.8297698853,29.5156166
54280000,0.8326538545,27.94918001
54502000,0.8352004671,26.56859151
54724000,0.8384408738,24.93949094
54946000,0.8416094643,23.30543419
55168000,0.8451869752,21.7031585
55390000,0.8486883191,20.08102796
55612000,0.8526366563,18.243793
55834000,0.8563447193,16.68098173
56056000,0.8610619006,14.68068597
56278000,0.865272119,12.81025581
56500000,0.8706047971,10.69900421
56722000,0.8754505749,8.781541582
56944000,0.8805380304,6.61042726
57166000,0.8858728523,4.227037565
57388000,0.89112706,1.677978264
57610000,0.8976122362,-1.033722758
57832000,0.9031062206,-3.775670873
58054000,0.9087045173,-6.850479816
58276000,0.9150083157,-10.23023541
58498000,0.9202640379,-13.74238337
58720000,0.9252555092,-17.56414142
58942000,0.9295515078,-21.84090455
59164000,0.9335779833,-26.54828242
59386000,0.9360707388,-31.77594254
59608000,0.9377181585,-37.64911257
59830000,0.9349107776,-44.19914111
60052000,0.9301963681,-51.61185469
60274000,0.9195078987,-60.04319903
60496000,0.9019267602,-69.68545248
60718000,0.8765045806,-80.66696375
60940000,0.8417110066,-93.15845824
61162000,0.7970356794,-107.2767437
61384000,0.7443171848,-122.9889305
61606000,0.6878971064,-140.2201982
61828000,0.6339721252,-158.6861592
62050000,0.6005514666,-179.6251764
62272000,0.5595864216,162.869141
62494000,0.5445389809,144.5410872
62716000,0.5427052157,127.7154815
62938000,0.5503031374,112.843993
63160000,0.5638586263,99.89889661
63382000,0.5798827276,88.68877136
63604000,0.5966442528,79.03772113
63826000,0.613475498,70.60206752
64048000,0.6291333118,63.09178521
64270000,0.643421611,56.28185902
64492000,0.6564493282,50.22711646
64714000,0.6682381992,44.59202908
64936000,0.6785972599,39.34012903
65158000,0.6876205866,34.3882049
65380000,0.6953782915,29.64541221
65602000,0.7020819449,25.0671693
65824000,0.7080260469,20.61296804
66046000,0.7128113812,16.28264808
66268000,0.7162825445,11.9605012
66490000,0.7193365504,7.585075745
66712000,0.7224113532,3.131018821
66934000,0.7241104233,-1.366905026
67156000,0.7245753386,-6.131693687
67378000,0.724591845,-11.10718879
67600000,0.7229958112,-16.54880933
67822000,0.7190513017,-22.3438203
68044000,0.7128587221,-28.76327236
68266000,0.7020439048,-35.69731602
68488000,0.6882147106,-43.2422923
68710000,0.6729837211,-51.47355415
68932000,0.657680433,-60.66158975
69154000,0.6428351322,-71.18524489
69376000,0.6292812202,-83.40169439
69598000,0.6185441988,-97.52489344
69820000,0.6132227203,-113.7561371
70042000,0.6170372432,-132.0097192
70264000,0.6328509118,-151.7482794
70486000,0.6615616488,-172.0903507
70708000,0.7007022373,167.9472884
70930000,0.7448880105,149.2386864
71152000,0.7883576488,132.2230752
71374000,0.8268933342,117.1564116
71596000,0.8588015268,103.9587429
71818000,0.8840994665,92.42255289
72040000,0.9035472188,82.35567422
72262000,0.918288031,73.52392642
72484000,0.929048549,65.73770869
72706000,0.936778561,58.7985569
72928000,0.9427897842,52.53332113
73150000,0.9471268887,46.81320586
73372000,0.9506818596,41.5660787
73594000,0.9532414616,36.6593086
73816000,0.9549214819,32.01980404
74038000,0.9565218672,27.56958948
74260000,0.9573982332,23.24249846
74482000,0.9581275872,18.97580867
74704000,0.9575084802,14.62103929
74926000,0.9554520981,10.06515531
75148000,0.9511379942,5.10769035
75370000,0.9413775182,-0.5406148792
75592000,0.9195525691,-7.494473322
75814000,0.8684736615,-16.77010125
76036000,0.739177067,-29.84300226
76258000,0.438586041,-42.49618381
76480000,0.2453174277,15.70203498
76702000,0.5245378999,30.73774473
76924000,0.6922371286,22.84205406
77146000,0.7774800188,15.66237088
77368000,0.8246698509,9.909945133
77590000,0.8534419878,5.143236618
77812000,0.8720026798,0.9967109941
78034000,0.8846908646,-2.737706035
78256000,0.8940944075,-6.1887949
78478000,0.9009795468,-9.466484861
78700000,0.9062236702,-12.59212267
78922000,0.9102394226,-15.63180962
79144000,0.9134270073,-18.60870256
79366000,0.9160376226,-21.56738899
79588000,0.9179102325,-24.50018496
79810000,0.9197296742,-27.42815933
80032000,0.9208383962,-30.39524786
80254000,0.9219349151,-33.37787325
80476000,0.9224287728,-36.39504007
80698000,0.9231663738,-39.4674484
80920000,0.9235304633,-42.61068279
81142000,0.9236264986,-45.83857816
81364000,0.9235479266,-49.16760557
81586000,0.923102001,-52.59823563
81808000,0.9227193786,-56.13857315
82030000,0.9219958143,-59.79675683
82252000,0.9213691718,-63.62579321
82474000,0.9200807309,-67.60083702
82696000,0.9191676798,-71.79731003
82918000,0.9184527912,-76.21635043
83140000,0.9172478985,-80.85943027
83362000,0.9159248333,-85.8129313
83584000,0.9142972762,-91.10386686
83806000,0.9121130157,-96.76610286
84028000,0.9100964073,-102.8564334
84250000,0.9070250261,-109.4391482
84472000,0.903834888,-116.6209388
84694000,0.8999815349,-124.4357257
84916000,0.8953089596,-133.050607
85138000,0.8898871303,-142.5754985
85360000,0.883411052,-153.222541
85582000,0.8759702709,-165.1578689
85804000,0.8672491305,-178.629183
86026000,0.8575847244,166.1142417
86248000,0.847320489,148.8754233
86470000,0.837153688,129.4978885
86692000,0.8286410016,108.0477702
86914000,0.8237065476,84.88495814
87136000,0.8237607171,60.70354116
87358000,0.83130523,36.41014458
87580000,0.8575265201,12.67962421
87802000,0.8575056741,-14.70541936
88024000,0.822888041,-33.84586103
88246000,0.8257794907,-52.34337706
88468000,0.8281720267,-69.81436643
88690000,0.828851176,-86.0889844
88912000,0.8276326264,-101.2612102
89134000,0.8254403888,-115.4185958
89356000,0.8223569871,-128.7147765
89578000,0.8188685915,-141.2194312
89800000,0.8152074148,-153.0078584
90022000,0.8115303839,-164.1231782
90244000,0.8080683648,-174.615063
90466000,0.8048994292,175.4614275
90688000,0.8016718217,166.1110874
90910000,0.7988590821,157.2390582
91132000,0.795767267,148.8668073
91354000,0.7928826142,140.9164459
91576000,0.7898923119,133.3657827
91798000,0.7864521122,126.2253973
92020000,0.7822425762,119.3680172
92242000,0.7775634407,112.8276346
92464000,0.7715042431,106.515972
92686000,0.7642076166,100.4282073
92908000,0.7551992789,94.49461844
93130000,0.7440666204,88.70532466
93352000,0.7303890395,82.93860317
93574000,0.7132816794,77.17027035
93796000,0.6912088705,71.2253381
94018000,0.6621706088,65.01791213
94240000,0.6223882594,58.33626242
94462000,0.566419959,50.94945461
94684000,0.4852209275,42.69136175
94906000,0.3650847445,33.89693669
95128000,0.1928171941,30.17900096
95350000,0.1003072787,121.4693536
95572000,0.3491765446,137.7880232
95794000,0.5786379578,124.2314092
96016000,0.7302840697,110.285883
96238000,0.8155154545,98.75874163
96460000,0.8596819086,89.65123952
96682000,0.8818487376,82.3888038
96904000,0.8924249526,76.46080599
97126000,0.8970110316,71.50371828
97348000,0.8986033357,67.27327936
97570000,0.8990254413,63.55300168
97792000,0.8993069904,60.26035242
98014000,0.8997844538,57.28227794
98236000,0.9010870676,54.52183837
98458000,0.9034806216,51.91792899
98680000,0.9068668748,49.4047158
98902000,0.9105435943,46.91182084
99124000,0.9149460032,44.4093978
99346000,0.918995626,41.86822676
99568000,0.9227745294,39.30282985
99790000,0.9263258074,36.63335369
100012000,0.9284474001,33.860797
100234000,0.9299022038,30.92611628
100456000,0.9291954557,27.79547968
100678000,0.9259850178,24.34926708
100900000,0.9191501662,20.44184248
101122000,0.9050843123,15.8742458
101344000,0.877594951,10.23970601
101566000,0.8219830346,3.036285948
101788000,0.7079910434,-6.051137677
102010000,0.494196885,-13.17623203
