Frequency,S11_Magnitude,S11_Phase
1000000,0.9990978914,160.8546281
1222000,0.9970765846,157.1614841
1444000,0.9984197764,153.1675212
1666000,1.000015427,149.2086263
1888000,1.001743221,145.2438648
2110000,1.002866456,141.2732485
2332000,1.003745161,137.3185754
2554000,1.004756252,133.4124418
2776000,1.005394226,129.5797134
2998000,1.005793102,125.7815556
3220000,1.005511236,122.0185671
3442000,1.005851608,118.3194467
3664000,1.005639676,114.6976561
3886000,1.004621892,111.0698357
4108000,1.003191217,107.5394677
4330000,1.00231085,104.0630707
4552000,1.001298755,100.679281
4774000,1.000301208,97.30332202
4996000,0.99909271,94.00701408
5218000,0.9978231532,90.70445035
5440000,0.9952501009,87.49508705
5662000,0.992331099,84.30517702
5884000,0.9872425843,81.14198417
6106000,0.9797974874,78.0077506
6328000,0.9679057368,75.00868704
6550000,0.9497607011,72.4059311
6772000,0.9333986047,70.64807753
6994000,0.9326417395,69.4089219
7216000,0.9437955543,67.68613088
7438000,0.9555370161,65.42418633
7660000,0.9640600038,62.95129142
7882000,0.969815216,60.40093246
8104000,0.9737630151,57.84366743
8326000,0.9765254391,55.34938645
8548000,0.9781063195,52.8763627
8770000,0.9791539696,50.47304144
8992000,0.9794838153,48.08326474
9214000,0.9794119587,45.71583427
9436000,0.9785500206,43.38336744
9658000,0.9773309144,41.05355765
9880000,0.9753442448,38.74658117
10102000,0.973206338,36.4398624
10324000,0.969910558,34.18272224
10546000,0.965894618,31.91774793
10768000,0.9607308637,29.67862056
10990000,0.9545513821,27.45357224
11212000,0.9465501069,25.24817206
11434000,0.9374191478,23.0862035
11656000,0.9261562086,20.99072714
11878000,0.9128734064,19.01929164
12100000,0.8974050185,17.28587544
12322000,0.8824617367,15.75422573
12544000,0.8673616239,14.54611119
12766000,0.8551678974,13.67212662
12988000,0.8469330215,13.03174386
13210000,0.8440564339,12.5224673
13432000,0.8459345166,12.01186519
13654000,0.8517598222,11.31072818
13876000,0.8599242362,10.44699072
14098000,0.8689897897,9.376194901
14320000,0.8780887088,8.11692513
14542000,0.8864453129,6.74402865
14764000,0.8941382495,5.268911821
14986000,0.9010800333,3.732090494
15208000,0.9068966645,2.15202166
15430000,0.9121487735,0.5431059559
15652000,0.916544241,-1.049573502
15874000,0.9204965213,-2.665991796
16096000,0.9238750805,-4.287212005
16318000,0.9269785438,-5.887611806
16540000,0.9296024737,-7.520686852
16762000,0.932239245,-9.118098893
16984000,0.934597017,-10.71888911
17206000,0.9367735704,-12.34287366
17428000,0.9389026203,-13.92965897
17650000,0.9405635415,-15.56059624
17872000,0.9423148361,-17.16497089
18094000,0.9438726642,-18.75863044
18316000,0.9450470416,-20.36654438
18538000,0.946219437,-21.97086665
18760000,0.9469100511,-23.60645542
18982000,0.9478106438,-25.21295379
19204000,0.9485012386,-26.84560244
19426000,0.9491145821,-28.43371847
19648000,0.9496516442,-30.06323878
19870000,0.949993774,-31.67163936
20092000,0.9504805184,-33.28550237
20314000,0.9508534932,-34.91040092
20536000,0.9512178097,-36.55086848
20758000,0.9514976228,-38.19035857
20980000,0.951568525,-39.85910608
21202000,0.9514525807,-41.53631174
21424000,0.9517387551,-43.1948244
21646000,0.951542509,-44.87666038
21868000,0.9514815506,-46.58690741
22090000,0.9513127489,-48.28500161
22312000,0.9508063943,-49.98825296
22534000,0.9505497292,-51.73383227
22756000,0.9502826323,-53.51145011
22978000,0.9496863636,-55.26495445
23200000,0.9492447551,-57.05643306
23422000,0.9484774024,-58.85332134
23644000,0.9478151005,-60.68109187
23866000,0.9467228469,-62.49966291
24088000,0.9459399595,-64.36715316
24310000,0.9451021913,-66.21312484
24532000,0.9441575961,-68.0808584
24754000,0.9433904707,-69.96819715
24976000,0.9421821204,-71.8635537
25198000,0.9416529376,-73.87572185
25420000,0.9421410607,-76.01396639
25642000,0.9388472914,-77.81822763
25864000,0.9371801189,-79.69708669
26086000,0.9356295469,-81.64809754
26308000,0.9353273665,-83.59235521
26530000,0.9337945573,-85.57067162
26752000,0.9322353716,-87.59647017
26974000,0.9308515592,-89.62839733
27196000,0.9288152111,-91.69735236
27418000,0.9275586897,-93.74927043
27640000,0.9261683837,-95.75143939
27862000,0.9245834651,-97.8130336
28084000,0.9226582247,-99.88760817
28306000,0.9202349847,-101.8987888
28528000,0.9176703161,-103.9333422
28750000,0.9160108955,-105.9665302
28972000,0.9146726514,-108.1014703
29194000,0.9126036206,-110.1288702
29416000,0.9119512682,-112.1847421
29638000,0.9104511113,-114.231883
29860000,0.9092133732,-116.3014908
30082000,0.9085855902,-118.4009862
30304000,0.9086247548,-120.5241399
30526000,0.9088638001,-122.6412847
30748000,0.9095615123,-124.8090419
30970000,0.9107573531,-126.9788894
31192000,0.9121357342,-129.191789
31414000,0.9135537561,-131.486455
31636000,0.9153851477,-133.7686465
31858000,0.9171748576,-136.11533
32080000,0.9191366993,-138.4687142
32302000,0.9202077695,-140.8380094
32524000,0.9218728936,-143.2661229
32746000,0.9231700119,-145.6930666
32968000,0.9240427849,-148.1812958
33190000,0.924718924,-150.6776026
33412000,0.9256237123,-153.191398
33634000,0.9265250527,-155.7414214
33856000,0.9270463831,-158.3564219
34078000,0.927819084,-161.0504855
34300000,0.92785023,-163.5628441
34522000,0.9279438885,-166.1312615
34744000,0.9279664638,-168.7318452
34966000,0.9280057865,-171.3366282
35188000,0.9279084921,-173.9378189
35410000,0.9274141049,-176.5445
35632000,0.9269134178,-179.1500809
35854000,0.9264793302,178.2574109
36076000,0.9257164752,175.6402269
36298000,0.9253261988,173.0413277
36520000,0.9245865832,170.4744504
36742000,0.9240707158,167.8452002
36964000,0.9235581955,165.229639
37186000,0.9230237404,162.5597071
37408000,0.9225519176,159.860411
37630000,0.9217001509,157.2778552
37852000,0.9195791616,154.8921637
38074000,0.9178810529,152.460841
38296000,0.9167853705,149.9790439
38518000,0.9151373649,147.4632441
38740000,0.9140559356,144.9388244
38962000,0.9122666649,142.3994501
39184000,0.9108249545,139.8611354
39406000,0.9091794461,137.3168422
39628000,0.9070113978,134.8355369
39850000,0.9048479456,132.3455786
40072000,0.9024281893,129.9074698
40294000,0.899683415,127.4119239
40516000,0.8968401643,124.825894
40738000,0.8935458835,122.3377864
40960000,0.8898687858,120.1598121
41182000,0.8855804313,117.9176123
41404000,0.8808556519,115.6396668
41626000,0.8762244224,113.3883032
41848000,0.8708415209,111.159104
42070000,0.8651490184,108.95756
42292000,0.8583951043,106.9299815
42514000,0.8514038237,104.8143054
42736000,0.844198099,102.7021159
42958000,0.836640025,100.6047481
43180000,0.8288055485,98.56966835
43402000,0.8208770118,96.64492437
43624000,0.8125030397,95.12783598
43846000,0.8044923125,93.60535562
44068000,0.7969199841,92.22937542
44290000,0.7907916153,90.83366729
44512000,0.7856981628,89.47025858
44734000,0.7815711083,88.14649875
44956000,0.7784961816,86.88065797
45178000,0.7765765736,85.63904633
45400000,0.7755027075,84.34474062
45622000,0.7757288662,83.04513753
45844000,0.7766234606,81.85972851
46066000,0.777538148,80.70305996
46288000,0.7793209491,79.41033109
46510000,0.7811606075,78.04215742
46732000,0.7836001344,76.57832883
46954000,0.786115072,75.15310477
47176000,0.7880291121,73.84888031
47398000,0.7900606109,72.50159317
47620000,0.7919666888,71.06854857
47842000,0.7939200078,69.61640381
48064000,0.7962355845,68.05645581
48286000,0.7985043694,66.47604087
48508000,0.7992547383,65.20103121
48730000,0.8011702539,63.68314155
48952000,0.8028262612,62.17350042
49174000,0.8035410149,60.77304531
49396000,0.8046606952,59.31344048
49618000,0.8058608647,57.81967947
49840000,0.8069562088,56.36826713
50062000,0.8077386234,54.93468361
50284000,0.8087108032,53.48116723
50506000,0.8091719824,52.05763739
50728000,0.8102997399,50.57458373
50950000,0.8108338042,49.16018751
51172000,0.8113554018,47.71157448
51394000,0.8125373813,46.29881649
51616000,0.8126012647,45.02783786
51838000,0.8133289716,43.64688478
52060000,0.8140045026,42.30882737
52282000,0.815394821,40.89751833
52504000,0.8166851914,39.470562
52726000,0.8179854342,37.9757843
52948000,0.8198984309,36.49265875
53170000,0.8210762762,35.23860235
53392000,0.8225977491,33.84910725
53614000,0.8249339086,32.29611418
53836000,0.8273582475,30.87976353
54058000,0.8294511871,29.46029172
54280000,0.8322781818,27.88150279
54502000,0.8347909394,26.523576
54724000,0.8381026015,24.86794871
54946000,0.8413135628,23.24574692
55168000,0.8449615545,21.64923383
55390000,0.8484669389,20.0180501
55612000,0.8524649935,18.19849034
55834000,0.856152883,16.62148003
56056000,0.8609837644,14.60107357
56278000,0.8652554936,12.67619271
56500000,0.8704100651,10.63713253
56722000,0.8755429643,8.674800016
56944000,0.8805416286,6.495731301
57166000,0.8857026828,4.11037595
57388000,0.8912080141,1.560561585
57610000,0.897914226,-1.156931095
57832000,0.9035220438,-3.944441074
58054000,0.9089062397,-7.046335222
58276000,0.9154453252,-10.43490269
58498000,0.9206339163,-13.95382538
58720000,0.9256570417,-17.83216447
58942000,0.9298333791,-22.16652607
59164000,0.933752836,-26.92885051
59386000,0.9362034831,-32.21105695
59608000,0.9374926883,-38.17145159
59830000,0.934541565,-44.79639769
60052000,0.9289748121,-52.32266919
60274000,0.9173765769,-60.89505661
60496000,0.8986576245,-70.68151797
60718000,0.8720131886,-81.83938596
60940000,0.8355904618,-94.55547241
61162000,0.7894782696,-108.851467
61384000,0.7353403116,-124.752273
61606000,0.6783438865,-142.1346745
61828000,0.6246311737,-160.7805185
62050000,0.5780448271,179.4703222
62272000,0.5532656185,160.6904084
62494000,0.5400959415,142.4590447
62716000,0.5398768205,125.7931692
62938000,0.5486869805,111.1337949
63160000,0.5628723704,98.3854236
63382000,0.579355504,87.375424
63604000,0.5964822309,77.87427162
63826000,0.6133881245,69.60500695
64048000,0.629204374,62.17697407
64270000,0.6434235156,55.51097812
64492000,0.656475943,49.49806809
64714000,0.6682041645,43.95171954
64936000,0.6784224303,38.7277541
65158000,0.6874715,33.81948401
65380000,0.6951044321,29.11292803
65602000,0.7018828402,24.53811993
65824000,0.7077154908,20.1401433
66046000,0.7125892902,15.83939278
66268000,0.7159128816,11.52037193
66490000,0.7189420671,7.141816422
66712000,0.7219609686,2.6911281
66934000,0.7234684621,-1.784785863
67156000,0.7239687572,-6.564888883
67378000,0.7239599808,-11.53774424
67600000,0.7220336987,-16.93559327
67822000,0.7185960702,-22.78134252
68044000,0.7120355602,-29.2430682
68266000,0.70118726,-36.22702522
68488000,0.6873015838,-43.77315809
68710000,0.6720086656,-52.03609042
68932000,0.6568580264,-61.31235514
69154000,0.6421694354,-71.88109391
69376000,0.6289074877,-84.18978108
69598000,0.6184952634,-98.39887335
69820000,0.6138526298,-114.7052798
70042000,0.6182843369,-133.0554249
70264000,0.6349914541,-152.8341481
70486000,0.664372373,-173.1704868
70708000,0.7038979189,166.9094017
70930000,0.7478790266,148.2593815
71152000,0.7910792498,131.3417869
71374000,0.8291882878,116.3686276
71596000,0.8604879364,103.2489113
71818000,0.8854081697,91.78849899
72040000,0.9042340246,81.79533449
72262000,0.9186489858,72.99592866
72484000,0.9291717992,65.24057698
72706000,0.9366155234,58.3328606
72928000,0.9424580957,52.11532774
73150000,0.946793298,46.42131383
73372000,0.9501706496,41.17836253
73594000,0.9526528323,36.29400932
73816000,0.9543865258,31.66792685
74038000,0.9559613184,27.22703722
74260000,0.9568797735,22.8986237
74482000,0.9573578781,18.58317438
74704000,0.9567090852,14.20531704
74926000,0.9545358032,9.577734231
75148000,0.9496004936,4.534383216
75370000,0.9391684777,-1.251853518
75592000,0.9154824743,-8.420253577
75814000,0.8595046638,-18.10150166
76036000,0.7169037133,-31.81456977
76258000,0.394304561,-43.23273552
76480000,0.2649678165,23.06453819
76702000,0.5465121411,30.76192217
76924000,0.7035838334,22.45647049
77146000,0.7836036095,15.32775905
77368000,0.8282530007,9.636802305
77590000,0.8555596635,4.908153083
77812000,0.8735501263,0.793500145
78034000,0.8858662146,-2.929277032
78256000,0.8949144267,-6.3733976
78478000,0.901652683,-9.633750349
78700000,0.9067575666,-12.76150282
78922000,0.9106519459,-15.80195611
79144000,0.9137044179,-18.77165683
79366000,0.9161736074,-21.71742954
79588000,0.9179697765,-24.6504969
79810000,0.9197959904,-27.59511197
80032000,0.9208956775,-30.54303591
80254000,0.9218540649,-33.54258961
80476000,0.922577254,-36.56039603
80698000,0.9229659853,-39.63655346
80920000,0.9232344572,-42.7871471
81142000,0.9232608162,-46.032074
81364000,0.9231960706,-49.36217252
81586000,0.9229630308,-52.78474874
81808000,0.922211814,-56.34955522
82030000,0.9215477006,-60.00300824
82252000,0.9209625996,-63.81525929
82474000,0.9196292978,-67.80903564
82696000,0.9186310814,-71.99678844
82918000,0.9179370837,-76.403305
83140000,0.9168840395,-81.07646733
83362000,0.9153543465,-86.01958044
83584000,0.913649329,-91.33017237
83806000,0.9114018737,-96.9774468
84028000,0.9093599806,-103.0553774
84250000,0.9063127377,-109.669489
84472000,0.9031423851,-116.8265348
84694000,0.8992466598,-124.667428
84916000,0.8945755102,-133.3038857
85138000,0.8892671612,-142.8635231
85360000,0.8826765336,-153.5466437
85582000,0.8751772944,-165.5529905
85804000,0.8663835084,-179.1204162
86026000,0.8563336973,165.5136558
86248000,0.8457158875,148.081483
86470000,0.8349753489,128.4508285
86692000,0.8258308065,106.6811198
86914000,0.8200467005,83.13330888
87136000,0.8192809096,58.57378448
87358000,0.8250916399,34.0374708
87580000,0.8500655732,10.4345024
87802000,0.8636810788,-16.81003691
88024000,0.8300295073,-36.85256849
88246000,0.8298425737,-55.51003165
88468000,0.8309299446,-72.97866009
88690000,0.8307777744,-89.20086941
88912000,0.8289145345,-104.26018
89134000,0.8264558466,-118.3506845
89356000,0.8231780176,-131.5224543
89578000,0.8195315304,-143.9163748
89800000,0.8157667401,-155.5936565
90022000,0.8118202716,-166.5809846
90244000,0.8084816079,-176.9525205
90466000,0.8052148401,173.2474978
90688000,0.8020291474,164.0090691
90910000,0.798989119,155.2601488
91132000,0.7958888105,146.9738794
91354000,0.7927250567,139.1227671
91576000,0.7896252017,131.6499399
91798000,0.7858390458,124.5600811
92020000,0.7815686091,117.7916084
92242000,0.7765559908,111.2973354
92464000,0.770217687,105.0329969
92686000,0.7627262461,98.98098892
92908000,0.7533716845,93.04499732
93130000,0.7418230479,87.27135914
93352000,0.7275538908,81.482967
93574000,0.7098563064,75.70650119
93796000,0.6869958215,69.71911063
94018000,0.6566282883,63.41353108
94240000,0.6153218949,56.60724952
94462000,0.5572754978,49.04145881
94684000,0.4729313789,40.51355102
94906000,0.3488267859,31.37040045
95128000,0.1715718433,27.64364298
95350000,0.1073908295,131.7906469
95572000,0.3622095501,138.5799222
95794000,0.5858600666,124.2204589
96016000,0.7328335666,110.2089408
96238000,0.8157123473,98.73593464
96460000,0.8591503147,89.68159778
96682000,0.8812151504,82.41460189
96904000,0.8916090557,76.48170605
97126000,0.8962602347,71.51664567
97348000,0.897875933,67.27651701
97570000,0.8982912805,63.56438173
97792000,0.8984650513,60.24640561
98014000,0.8989414531,57.27149378
98236000,0.9003500782,54.49461424
98458000,0.9028402204,51.90053763
98680000,0.9062698066,49.37564037
98902000,0.9100079026,46.87071562
99124000,0.9144034409,44.3797325
99346000,0.9186684447,41.85461468
99568000,0.9223757169,39.24961444
99790000,0.9257553504,36.58689567
100012000,0.9278927075,33.80362047
100234000,0.9292988906,30.85120751
100456000,0.9285061165,27.70332786
100678000,0.9251528751,24.25041981
100900000,0.9180713011,20.300891
101122000,0.9034495363,15.66061459
101344000,0.8748318726,9.946793222
101566000,0.8166462527,2.572564161
101788000,0.6969658561,-6.65565846
102010000,0.4746401929,-13.2069744
102232000,0.2731735354,16.08806597
102454000,0.4235437675,49.51111327
102676000,0.6015993098,48.65638044
102898000,0.7090508106,43.42622219
103120000,0.7719094352,38.54369965
103342000,0.8105252439,34.44072971
103564000,0.8356214363,30.95864062
103786000,0.8519643479,27.95347781
104008000,0.8635029314,25.249731
104230000,0.8714307107,22.78801961
104452000,0.8769483258,20.49154613
104674000,0.8801906473,18.32307269
104896000,0.8818286858,16.17414323
105118000,0.8799303417,13.94663624
105340000,0.8706454384,11.61512753
105562000,0.8397185198,9.579669774
105784000,0.8127303019,11.55147213
106006000,0.8516690172,11.9415895
106228000,0.8719110385,10.09229
106450000,0.8795288151,8.237123179
106672000,0.8825778376,6.513039616
106894000,0.8834498517,4.90428491
107116000,0.8833145326,3.383331261
107338000,0.8825595818,1.892432638
107560000,0.8809371255,0.3990591703
107782000,0.8792082311,-1.05267208
108004000,0.876639354,-2.518884184
108226000,0.8738593272,-3.994303632
108448000,0.8700539936,-5.485847152
108670000,0.8659568247,-7.014832151
108892000,0.861087518,-8.532431966
109114000,0.8551574656,-10.13681593
109336000,0.8482839801,-11.8123642
109558000,0.8402053813,-13.53439511
109780000,0.8305918206,-15.32615212
110002000,0.8187964414,-17.20911133
110224000,0.8047447777,-19.28287458
110446000,0.7876362507,-21.41959277
110668000,0.7663705842,-23.74520585
110890000,0.7399889523,-26.2638625
111112000,0.7064855738,-28.96249309
111334000,0.6638197054,-31.7915869
111556000,0.6096834026,-34.59599393
111778000,0.5412800347,-36.97029362
112000000,0.4589244319,-37.8839623
112222000,0.3705812104,-36.13969244
112444000,0.2045263439,-20.77693449
112666000,0.2896142311,15.84802201
112888000,0.4063907761,26.28433989
113110000,0.5354910912,27.25530597
113332000,0.6509878433,24.04958461
113554000,0.7403277368,19.23429634
113776000,0.8020154383,14.50699125
113998000,0.8453193021,10.28907502
114220000,0.8765080002,6.546086558
114442000,0.8989539977,3.189080882
114664000,0.9152430035,0.2001320281
114886000,0.9271907023,-2.524375798
115108000,0.9359605125,-5.001719284
115330000,0.9424202311,-7.275527357
115552000,0.9471875584,-9.395479223
115774000,0.9508015875,-11.35409118
115996000,0.9533806049,-13.25973634
116218000,0.9550714926,-15.04402795
116440000,0.9568502328,-16.7858119
116662000,0.9577596657,-18.45696663
116884000,0.9581584373,-20.10180656
117106000,0.9577556302,-21.7203031
117328000,0.9568272189,-23.28728502
117550000,0.9556453602,-24.79334018
117772000,0.9547153793,-26.26702843
117994000,0.9536952616,-27.73530487
118216000,0.9525832355,-29.24714241
118438000,0.9516208352,-30.75387195
118660000,0.9502046058,-32.29006113
118882000,0.9485433432,-33.87704866
119104000,0.9463508565,-35.52728452
119326000,0.9440778979,-37.22113971
119548000,0.9406357072,-39.02385061
119770000,0.9364757405,-40.91912625
119992000,0.9303209985,-43.00708333
120214000,0.9227448844,-45.29185186
120436000,0.9111544748,-47.83411072
120658000,0.8945064418,-50.75215677
120880000,0.8689762558,-54.11011147
121102000,0.8285286471,-57.97506167
121324000,0.7640997736,-62.15822798
121546000,0.6652501943,-65.55369892
121768000,0.5379908548,-64.34759824
121990000,0.4427362369,-52.14416901
122212000,0.4672691623,-34.03889587
122434000,0.5860688085,-26.97926928
122656000,0.685280887,-28.62721976
122878000,0.7458765136,-31.70666298
123100000,0.7827190517,-34.56117773
123322000,0.8092900981,-37.42348697
123544000,0.8262845193,-39.92656899
123766000,0.837847614,-42.23760841
123988000,0.8456499169,-44.37395447
124210000,0.8501741175,-46.41972117
124432000,0.8528960756,-48.34955183
124654000,0.8535998266,-50.2460603
124876000,0.8529663979,-52.0183736
125098000,0.8511648854,-53.75178436
125320000,0.847752049,-55.41856456
125542000,0.8440162281,-56.9233036
125764000,0.8400076383,-58.22785307
125986000,0.8379712675,-59.22770905
126208000,0.8430357659,-59.81106817
126430000,0.867230225,-60.31168325
126652000,0.911998031,-62.53725922
126874000,0.9383280895,-66.9353829
127096000,0.9396953063,-71.20466152
127318000,0.9370639528,-75.19740472
127540000,0.9326347847,-79.40014785
127762000,0.9228600906,-83.92256333
127984000,0.907074023,-88.77219407
128206000,0.8856011484,-93.8669529
128428000,0.8591265046,-99.29988923
128650000,0.8278186633,-105.1882024
128872000,0.7891467281,-111.7103291
129094000,0.7418410034,-119.0502449
129316000,0.6817933317,-127.3758844
129538000,0.6034335796,-136.630568
129760000,0.4995114765,-146.0445932
129982000,0.3708816273,-150.5935928
130204000,0.3110974224,-134.6994032
130426000,0.4990114684,-135.1615997
130648000,0.662582694,-169.7800583
130870000,0.684180836,150.8126906
131092000,0.6787901161,114.4880985
131314000,0.6964789231,83.13450245
131536000,0.73347449,57.41732814
131758000,0.7757743186,36.78612142
131980000,0.8140073261,20.20658607
132202000,0.8445855316,6.597101224
132424000,0.8674424007,-4.799887714
132646000,0.8829605873,-14.54070096
132868000,0.8925383807,-23.0480594
133090000,0.8971605402,-30.65929257
133312000,0.8978543499,-37.51750514
133534000,0.8955686749,-43.83764657
133756000,0.8917652421,-49.76656107
133978000,0.8863004971,-55.50270244
134200000,0.8813218238,-61.19379838
134422000,0.8764090523,-67.01275764
134644000,0.8714817499,-73.34283421
